id,aspect,opinion,sentiment,category
27,-,-,-,unknown
27,adaptive suspension,comfy,pos,comfort
27,adaptive suspension,firm,pos,comfort
27,spend extra on adaptive suspension,very practical,pos,comfort
27,-,-,-,unknown
27,-,-,-,unknown
27,-,-,-,unknown
27,-,-,-,unknown
28,comforts,desirable,pos,general-information
28,car,fun,pos,general-information
28,car,surprisingly practical,pos,general-information
28,backseat,much room,pos,comfort
28,room,Legendary,pos,comfort
28,headroom,plenty,pos,comfort
28,middle seat,not very much comfort,neg,comfort
28,middle seat,head hitting plastics,neg,comfort
28,boot,fit so much stuff,pos,exterior-features
28,boot volume,on par,pos,exterior-features
28,boot shape,more practical,pos,exterior-features
28,boot,not quite as good as,neg,exterior-features
28,design,distinctive,pos,quality-aesthetic
28,sit,nice,pos,quality-aesthetic
28,sit,low,neu,quality-aesthetic
28,dash angle,towards you,pos,quality-aesthetic
28,driving position,spot on,pos,quality-aesthetic
28,build,quality,pos,quality-aesthetic
28,dash,like,pos,quality-aesthetic
28,build,really good,pos,quality-aesthetic
28,inside,feels expensive,pos,quality-aesthetic
28,space,not the best,neg,quality-aesthetic
28,space,sufficient,pos,quality-aesthetic
28,space,pretty good,pos,quality-aesthetic
28,equipment,impressive,pos,quality-aesthetic
28,I drive system,dead easy to use,pos,user-experience
28,I drive system,best on the market,pos,user-experience
28,features,cool,pos,user-experience
28,-,-,-,unknown
28,servicing plan,really good,pos,cost
28,mileage,unlimited,pos,cost
28,automatic gearbox,more economical,pos,cost
28,emergency service,stunning,pos,safety
28,-,-,-,unknown
28,high speed mobile internet,good,pos,user-experience
28,offset pedals,feel like your feet almost outside the car,pos,user-experience
28,entry level petrol engine,lumber,neg,performance
28,automatic gear selector,large,pos,user-experience
28,automatic gear selector,touch phallic,pos,user-experience
28,options,easy to get carried away,neu,cost
28,reductive sport end suspension,should definitely spend,pos,cost
28,steering,not as nice,neg,handling
28,automatic gearbox,brilliant,pos,handling
28,auto bends,best in business,pos,handling
28,engine,very very quick,pos,performance
28,engine,returns good economy,pos,performance
28,miles per gallon,not too  bad,neu,performance
28,diesel engine,little bit noisy,neg,performance
28,three series,more road noise,neu,performance
28,three series,more wind noise,neu,performance
28,visibility,cannot fault,pos,comfort
28,pillars,quite thin,pos,comfort
28,view,very good,pos,comfort
28,view,really handy,pos,comfort
28,speed on,suffer from a bit of Tyrell,neg,general-information
28,adaptive suspension,spend extra,neg,cost
28,adaptive suspension,handles brilliantly,pos,handling
28,drive,great fun,pos,handling
28,adaptive suspension,surprisingly practical,pos,general-information
29,-,-,-,unknown
29,-,-,-,unknown
29,profile,coop like,neu,quality-aesthetic
29,room inside,less,neg,quality-aesthetic
29,profile,cooler,pos,quality-aesthetic
29,-,-,-,unknown
29,backend,swoopy,pos,exterior-features
29,backend capacity,less,neg,exterior-features
29,boot,lowered tapered line,neg,exterior-features
29,boot lid,problem for heavy items,neg,exterior-features
29,boot,very useful,pos,exterior-features
29,boot,lots of nice features,pos,exterior-features
29,tie down tethers,sturdy,pos,exterior-features
29,storage jets,removable,neu,exterior-features
29,space,decent,neu,exterior-features
29,boot,pretty flat,pos,exterior-features
29,roofline,sloping,neg,comfort
29,backseats,not wide open,neg,comfort
29,rearward facing child seats,trickier,neu,comfort
29,get in,dead easy,pos,comfort
29,foot room,plenty,pos,comfort
29,backseat head room,pretty tight,neg,comfort
29,backseat for people over 6 4,cramped,neg,comfort
29,window ledges,quite high,neg,comfort
29,smaller people,struggle to see,neg,comfort
29,seat backs,not very big,neg,interior-features
29,seat backs,not much room,neg,interior-features
29,door bins,huge,pos,interior-features
29,digital climate control,useful,pos,interior-features
29,coat hooks,neat,pos,interior-features
29,reading lights,can turn them off individually,pos,interior-features
29,-,-,-,unknown
29,-,-,-,unknown
29,-,-,-,unknown
29,-,-,-,unknown
29,-,-,-,unknown
29,sport seats,lovely,pos,comfort
29,screen,wide,pos,comfort
29,screen,glorious,pos,comfort
29,traffic updates,good,pos,user-experience
29,concierge service,really really good,pos,user-experience
29,system,intuitive,pos,user-experience
29,system,simple to use,pos,user-experience
29,menus,very easy,pos,user-experience
29,digital dollars,well worth,pos,user-experience
29,digital dollars,look nice,pos,user-experience
29,digital dollars,not quite the functionality,neg,user-experience
29,design,alright,pos,quality-aesthetic
29,design,quite like,pos,quality-aesthetic
29,events,feel cheap,neg,quality-aesthetic
29,car,solid,pos,quality-aesthetic
29,quality,very good,pos,quality-aesthetic
29,door bins,big,pos,quality-aesthetic
29,storage by steering,like,pos,interior-features
29,key,big,neu,interior-features
29,remote key operations,good,pos,interior-features
29,glove box size,a big bag of popcorn,neu,interior-features
29,seating position,really good,pos,comfort
29,extendable seat base,like,pos,comfort
29,under fly support,like,pos,comfort
29,steering wheen adjustment,plenty,pos,comfort
29,view,very high,pos,comfort
29,-,-,-,unknown
29,-,-,-,unknown
29,-,-,-,unknown
29,sun roof,one touch only open it 90% of the way,neg,exterior-features
29,engine,quite rattling,neg,performance
29,-,-,-,unknown
29,car,like a pig from angry birds,neg,quality-aesthetic
29,-,-,-,unknown
29,aerodynamics,improved,pos,exterior-features
29,cutaways for covers,fit perfectly,pos,exterior-features
29,optional heads up displays,brilliant,pos,interior-features
29,weight distribution,perfect,pos,general-information
29,parking assistant Plus,brilliant,pos,user-experience
29,view,good,pos,safety
29,car,higher than other cars,pos,safety
29,blind spots,so many,neg,safety
29,blind spot,huge,neg,safety
29,automatic gearbox,love,pos,handling
29,speeding,very smooth,pos,handling
29,car feels,sporty,pos,handling
29,suspension,firmer,pos,handling
29,adaptive suspension,well worth,pos,handling
29,corner handle,well,pos,handling
29,steering,not quite sharp,neg,handling
29,engine,generally pretty good,pos,performance
29,performance,enough,neu,performance
29,miles per gallon,good enough,neu,performance
29,distance driving,quite comfortable,pos,comfort
29,tire noise,quite a lot,neg,comfort
29,-,-,-,unknown
29,-,-,-,unknown
29,BMW S4,good,pos,general-information
29,BMW S4,fun,pos,general-information
30,car,combines comfort with sporting,pos,general-information
30,back,love,pos,comfort
30,headroom,absolutely acres,pos,comfort
30,headroom,leading,pos,comfort
30,car,good for people over six foot,pos,comfort
30,carrying three in the back,not good,neg,comfort
30,seats,tighter in the middle,neg,comfort
30,front,really really comfy,pos,comfort
30,cabin,really nice,pos,quality-aesthetic
30,cabin,not cheap,pos,quality-aesthetic
30,storage,alright,neu,interior-features
30,boxes,decent size,pos,interior-features
30,spaces,kind a bit short,neg,interior-features
30,equipment,really good,pos,interior-features
30,satnav,standard,pos,interior-features
30,leather seats,heated,pos,comfort
30,climate control,really really good,pos,interior-features
30,-,-,-,unknown
30,upgraded professional satnav,lovely,pos,interior-features
30,I drive system,slickest,pos,user-experience
30,design,stood the test of time,pos,user-experience
30,exteriors,stood the test of time,pos,user-experience
30,boot,decent size,pos,quality-aesthetic
30,boot overall capacity,slightly less,neg,exterior-features
30,load lip,very low,neu,exterior-features
30,boot,practical enough,neu,exterior-features
30,-,-,-,unknown
30,-,-,-,unknown
30,-,-,-,unknown
30,-,-,-,unknown
30,-,-,-,unknown
30,-,-,-,unknown
30,-,-,-,unknown
30,pedals,slightly offset,neg,comfort
30,automatic emergency breaking,expensive option,neg,safety
30,door bins,really small,neg,interior-features
30,lumbar support,expensive option,neg,cost
30,-,-,-,unknown
30,-,-,-,unknown
30,adaptive suspension,quite expensive,neg,handling
30,adaptive suspension,well-worth,pos,handling
30,adaptive suspension,lovely,pos,handling
30,drive,lovely,pos,comfort
30,drive,pretty quiet,pos,comfort
30,visibility,generally very good,pos,safety
30,engines,strong performers,pos,performance
30,petrol engine,more economical,pos,performance
30,engine,really good,pos,performance
30,diesel engine,little bit more noisy,neg,performance
30,manual gearbox,not as nice,neg,performance
30,automatic gearbox,favourite on the market,pos,performance
30,-,-,-,unknown
30,adaptive suspension,fun,pos,handling
30,entertainment system,brilliant,pos,interior-features
30,-,-,-,unknown
31,BMW M3,absolute legend,pos,general-information
31,-,-,-,unknown
31,handling,more precise,neu,handling
31,traction control,more lenient,neu,handling
31,-,-,-,unknown
31,car,feels pretty much identical to normal three series,neu,quality-aesthetic
31,quality,good,pos,quality-aesthetic
31,car,easy to use,pos,quality-aesthetic
31,infotainment system,fabulous,pos,interior-features
31,infotainment system,best,pos,interior-features
31,carbon fibre,not tacky,neg,interior-features
31,back seats,super comfy,pos,comfort
31,boot,big enough,neu,exterior-features
31,-,-,-,unknown
31,exhaust,louder,neg,performance
31,front end grip,really strong,pos,handling
31,-,-,-,unknown
31,tire noise,way too loud,neg,comfort
31,car,fantastic all round performance,pos,general-information
31,car,German,pos,general-information
31,car,well-made,pos,general-information
34,BMW X3,really good all rounder,pos,general-information
34,car,economical,pos,general-information
34,car,desirable,pos,general-information
34,car,fun to drive,pos,general-information
34,off road,well,pos,general-information
34,car,very practical,pos,comfort
34,get in the back,nice,pos,comfort
34,get in back,easy,pos,comfort
34,door opening,quite wide,pos,comfort
34,get in,not have to swoop down,pos,comfort
34,carrying rear passengers,brilliant,pos,comfort
34,floor,big,neu,comfort
34,floor,humping,neu,comfort
34,boot,absolutely massive,pos,exterior-features
34,boot,very large,pos,exterior-features
34,boot shape,nice,pos,exterior-features
34,boot shape,square,pos,exterior-features
34,tether points,adjustable,pos,exterior-features
34,nets,lots,pos,exterior-features
34,straps,lots,pos,exterior-features
34,underfloor storage,great,pos,exterior-features
34,Parcel Shelf,handy,pos,exterior-features
34,design,not so keen,neg,quality-aesthetic
34,design,desirable but one of their least attractive models,neg,quality-aesthetic
34,looks,not sharp looking,neg,quality-aesthetic
34,interior design,bit dated,neg,quality-aesthetic
34,car,solid,pos,quality-aesthetic
34,car storage,good,pos,quality-aesthetic
34,equipment,impressive,pos,quality-aesthetic
34,-,-,-,unknown
34,I drive system,best in business,pos,user-experience
34,tech features,cool,pos,user-experience
34,-,-,-,unknown
34,-,-,-,unknown
34,-,-,-,unknown
34,-,-,-,unknown
34,everything,great,pos,general-information
34,BMW X3,not the most reliable car,neg,general-information
34,pedal,so far set to the right,neg,interior-features
34,feet,feel outside the door,neg,interior-features
34,-,-,-,unknown
34,phone cradle,annoying,neg,exterior-features
34,phone cradle,look cool,pos,exterior-features
34,ride quality,absolutely knackered,neg,exterior-features
34,adaptive suspension,essential,pos,handling
34,suspension,fairly firm,neu,handling
34,ride,a little too bumpy,pos,handling
34,handling,very well,pos,handling
34,handling,surprisingly grippy,neu,handling
34,adaptive suspension,best of both worlds,pos,handling
34,Tyrell,quite a lot,neg,comfort
34,visibility,pretty good,pos,comfort
34,blind spot,large,neg,comfort
34,three litre diesel engine,absolutely storming,pos,performance
34,two litre diesel engine,lower powered,neu,performance
34,two litre diesel engine,quick enough,pos,performance
34,automatic gearbox,brilliant,pos,performance
34,-,-,-,unknown
34,inside,dated,neg,handling
34,handling right,too firm without adaptive suspension,neg,handling
34,handles,well,pos,handling
34,-,-,-,unknown
35,-,-,-,unknown
35,-,-,-,unknown
35,boot capacity,1/4 less than normal,neu,exterior-features
35,space in backseats,like,pos,comfort
35,knee room,loads,pos,comfort
35,headroom,loads,pos,comfort
35,backseats,cannot recline,neg,comfort
35,floor,flat,pos,comfort
35,backseats,absolutely fine,pos,comfort
35,-,-,-,unknown
35,front,as spacious as the rear,neu,comfort
35,inside,dull,neg,quality-aesthetic
35,car,aged,neg,quality-aesthetic
35,material,soft touch,pos,quality-aesthetic
35,material,very high quality,pos,quality-aesthetic
35,car,feels very very expensive,pos,quality-aesthetic
35,storage spaces,very good,pos,interior-features
35,door bins,huge,pos,interior-features
35,door bins,fit easily,pos,interior-features
35,equipment,pretty good,pos,interior-features
35,leather seats,electrically  heated,pos,comfort
35,satnav,premium,pos,interior-features
35,system,professional,pos,interior-features
35,screen,wide,pos,interior-features
35,satnav,lovely,pos,interior-features
35,I drive,one of the best,pos,user-experience
35,I drive,absolutely love,pos,user-experience
35,-,-,-,unknown
35,drive,really really nice,pos,handling
35,adaptive M6 port suspension comfort model,nice,pos,handling
35,adaptive M6 port suspension comfort model,relaxing,pos,handling
35,sports mode,improves the grip,pos,handling
35,handling,very well,pos,handling
35,handling,really well,pos,handling
35,hybrid model,lot of weight,neu,general-information
35,corner handling,feels cumbersome,neg,handling
35,hybrid system,problem,neg,performance
35,automatic gearbox,quicker,pos,handling
35,X5,noisy,neg,comfort
35,X5,quite loud,neg,comfort
35,Tyrell,a lot,neg,comfort
35,wind whistle,annoying,neg,comfort
35,visibility,comforting,pos,safety
35,back window,large,pos,safety
35,camera angle,wide,pos,safety
35,pillars,not obtrusive,pos,safety
35,blind spot,not too much,pos,safety
35,X5,good to drive,pos,handling
35,-,-,-,unknown
35,phone Cradle,annoying,neg,interior-features
35,-,-,-,unknown
35,-,-,-,unknown
35,Parcel Shelf,heavy,neg,exterior-features
35,Parcel Shelf,not standard,neg,exterior-features
35,wide retired,pretty,pos,cost
35,-,-,-,unknown
35,traffic date,super accurate,pos,interior-features
35,-,-,-,unknown
35,Automatic canister,prevent a skid,pos,handling
35,-,-,-,unknown
35,BMW X5,quite interesting,pos,general-information
35,hybrid version,completely silent at low speed,pos,comfort
35,models,quite noisy a high speed,pos,quality-aesthetic
35,intense,little bit dated,neg,quality-aesthetic
35,car,hugely practical,pos,general-information
35,diesel,hugely practical,pos,general-information
35,drive,very good,pos,handling
35,-,-,-,unknown
35,-,-,-,unknown
35,-,-,-,unknown
36,-,-,-,unknown
36,grill,absolutely huge,pos,quality-aesthetic
36,grill,distinctive,pos,quality-aesthetic
36,grill,like bugs bonus teeth,pos,quality-aesthetic
36,grill,massive,pos,quality-aesthetic
36,-,-,-,unknown
36,front,looks very aggressive,neu,quality-aesthetic
36,laser lights,cool blue,pos,exterior-features
36,-,-,-,unknown
36,design,new,pos,exterior-features
36,backend,slab,neu,quality-aesthetic
36,backend,rather large,neu,quality-aesthetic
36,boot,all electric,pos,exterior-features
36,boot shape,nice big square,pos,exterior-features
36,car,run on flats,pos,exterior-features
36,lowering backseats,very easy to do,pos,exterior-features
36,-,-,-,unknown
36,-,-,-,unknown
36,interior,more luxury on technology,pos,quality-aesthetic
36,price,bumped up a bit,neg,cost
36,price,worth the money,pos,quality-aesthetic
36,Quality,absolutely brilliant,pos,quality-aesthetic
36,materials,soft touch,pos,quality-aesthetic
36,materials,softest,pos,quality-aesthetic
36,materials,feels great,pos,quality-aesthetic
36,materials,really sturdy,pos,quality-aesthetic
36,controls,easily laid out,pos,quality-aesthetic
36,ventilation controls,metallic,pos,quality-aesthetic
36,controls,nice,pos,quality-aesthetic
36,Trim,little bit confusing,neg,quality-aesthetic
36,Trim,not so keen,neg,quality-aesthetic
36,Trim,not ideal,neg,quality-aesthetic
36,crystal knob,not a fan,neg,quality-aesthetic
36,crystal knob,naff,neg,quality-aesthetic
36,S8,lovely,pos,comfort
36,leather,two  tone,pos,comfort
36,leather,looks really really good,pos,comfort
36,I drive seven,better than ever,pos,user-experience
36,I drive seven,absolutely fabulous,pos,user-experience
36,I drive seven,dead easy to control,pos,user-experience
36,I drive seven,little bit temperamental,neg,user-experience
36,graphics card,easier,pos,user-experience
36,map,lovely,pos,user-experience
36,graphics,sharp,pos,user-experience
36,graphics,high definition,pos,user-experience
36,digital drivers display,not quite good,neg,user-experience
36,satnav,not full wide screen,neg,user-experience
36,rev counter,odd,neg,user-experience
36,infotainment system,like,pos,user-experience
36,reversing camera,so good,pos,user-experience
36,gesture commands,hard to control,neg,user-experience
36,suspension,unique,pos,handling
36,suspension,little bit firmer than other,neu,handling
36,comfort mode,very very comfortable,pos,handling
36,bumps,hardly feel,pos,handling
36,sport mode,very very good,pos,handling
36,sport mode,feels really sporting agile,pos,handling
36,corner handling,strong,pos,handling
36,corner handling,sturdy,pos,handling
36,Taxi drive,great,pos,handling
36,steering,highlight,pos,handling
36,steering,feels connected to front wheels,pos,handling
36,change mode controls,inconvenient,neg,handling
36,engine,pretty quick for diesel S60 lot,pos,performance
36,engine,very quick,pos,performance
36,pickup,relentless,pos,performance
36,engine,makes good noise,pos,performance
36,noise,fake,neg,performance
36,gearbox,really good,pos,performance
36,gearbox,improved on perfection,pos,performance
36,gearbox,well done,pos,performance
36,car,modern,pos,performance
36,changing gears using paddles,sharp,pos,performance
36,auto-breaking,safe,pos,safety
36,stop,safe,pos,safety
36,stop,steady,pos,safety
36,rear,absolutely loads of room,pos,comfort
36,footroom,loads of space for legs,pos,comfort
36,headroom,loads . looking up absolutely loads,pos,comfort
36,rear,really spacious,pos,comfort
36,window lead,big,pos,comfort
36,backseats,super comfy,pos,comfort
36,pockets in backseat,tough really strong,pos,interior-features
36,BC imports,nice,pos,interior-features
36,BC imports,modern,pos,interior-features
36,seats,quite reclined,pos,comfort
36,backseat,super quiet,pos,comfort
36,backseat,really really very comfortable,pos,comfort
36,-,-,-,unknown
36,-,-,-,unknown
36,air suspension,more comfortable over bumps,pos,handling
36,offroad height raise,right,pos,handling
36,-,-,-,unknown
36,offroad pack,special,pos,handling
36,-,-,-,unknown
36,engine,nice,pos,performance
36,engine,responsive,pos,performance
36,engine,agile,pos,performance
36,engine,silky,pos,performance
36,engine,smooth,pos,performance
36,BMW X5,really impressed,pos,general-information
36,drive,very well,pos,general-information
36,BMW X5,comfortable,pos,comfort
36,BMW X5,quiet,pos,quality-aesthetic
36,BMW X5,luxurious,pos,quality-aesthetic
36,BMW X5,practical,pos,quality-aesthetic
36,BMW X5,packed full of technology,pos,interior-features
36,SUV,excellent,pos,general-information
36,SUV,luxury,pos,general-information
37,-,-,-,unknown
37,car,has a lot riding on it,pos,general-information
37,front end look,really like,pos,quality-aesthetic
37,lower bumper,aggressive,neu,quality-aesthetic
