aspect,base_category
new engine,engine / power train
offroading,road terrain
going faster,acceleration
voice recognition,road terrain
marina leather,interior materials & trim / finish
dynamic mode,driving dynamics / handling
standard engine power,engine / power train
bmw a8 plug in hybrid,fuel / energy / charging
audi presence,model / generic car terms
slabs,model / generic car terms
get in and out,doors
indicators,displays / instrumentation
boot overall capacity,boot / cargo
find the right gear,transmission
throttle (sport),model / generic car terms
audi a one s line,model / generic car terms
surround view cameras,visibility & view
driving assistance package,design
false floor storage,storage & utility
nintendo entertainment system,software / interaction
fuel efficient,fuel / energy / charging
rev counter,engine / power train
usb,connectivity / integration
upgrades,options & specifications
every material,interior materials & trim / finish
3 50 d price,road terrain
gated shifter,transmission
air purification system with perfume,aerodynamics / airflow
reversing assistant,driver assistance
bluetooth,connectivity / integration
down the door bins,storage & utility
bowers and wilkins diamond surround sound system,audio
charging points,fuel / energy / charging
remote control,gesture / motion controls
room,passenger space
overall quality,quality & durability
automatic performance,performance
stronic transmission,transmission
digital screens,displays / instrumentation
third row seats,seats
back tire,wheels & tyres
sport suspension,suspension
rear leg room,passenger space
no load lift,boot / cargo
over six foot tall,passenger space
satnav screen,displays / instrumentation
interior light pattern,model / generic car terms
throttle,model / generic car terms
family seat,seats
digital controls,displays / instrumentation
mercedes-benz accents,design
v six,engine / power train
glovebox size,boot / cargo
plastic head,exterior materials & finish
grill,grill
wheel arch,exterior materials & finish
rear seat control,seats
back legroom,passenger space
bmw backseat,seats
sl,model / generic car terms
engine starting,engine / power train
paddle shifters,transmission
tired,wheels & tyres
sporting suspension,functionality & features
practical side,comfort & ergonomics
automatic box,boot / cargo
goes over bumps,road terrain
space saver,passenger space
cabin noise,interior
side collision avoidance system,safety
trip,distance / efficiency / mileage
speakers,audio
lighting colors,design
steering controls,steering
around the bend,driving dynamics / handling
launch control system,acceleration
running costs,value / cost
dynamic steering,steering
pulls,acceleration
economics,value / cost
towing capacity,performance
laser headlights,lighting / indicators
a4 dual clutch,transmission
comfort mode,comfort & ergonomics
bmw technology,technology
c 250 d,model / generic car terms
drive at speed,drive
vehicle lowest setting,model / generic car terms
front end look,design
sports exhaust,exhaust
window ledges,body class
carbon emission,model / generic car terms
old v8 engine,engine / power train
drawer,storage & utility
change,generic description & miscellaneous
display panel,displays / instrumentation
carrying three adults,model / generic car terms
bmw x5,model / generic car terms
seven speed gear box,transmission
moonroof,roof
off road,road terrain
trunk space,passenger space
middle seat footroom,passenger space
operating window,aerodynamics / airflow
rear trunk,boot / cargo
core,chassis / structural
semi autonomous driving system,drive
v8 engine,engine / power train
video chip,displays / instrumentation
sport mode shift,transmission
displacement,engine / power train
center,interior
catches,keys & lock
mercedes badge,design
load lip,aerodynamics / airflow
runs,performance
head rest not put up,seats
rear quarters,passenger space
exterior color,exterior materials & finish
middle spot,passenger space
driving tech,technology
automatic mode,driving dynamics / handling
side blades,side section
driving on bumps,drive
power folding,engine / power train
ecosystem,connectivity / integration
gravel road,road terrain
voice activation system,voice & commands
console layer,software / interaction
technology,technology
towing up,functional features
ridge,exterior materials & finish
suspension,suspension
dump control,suspension
sport mode,driving dynamics / handling
name,model / generic car terms
tire holding,wheels & tyres
child seat base,seats
autonomous driving system,drive
indicator,lighting / indicators
latest generation,model / generic car terms
carriage pull,model / generic car terms
seat bench,seats
audi s a3,model / generic car terms
architecture,chassis / structural
0 to 60 run,acceleration
trunk capacity,boot / cargo
diesel,fuel / energy / charging
car settings,model / generic car terms
mid corner,cornering
steering wheel controls,steering
vents,aerodynamics / airflow
automated tailgate,boot / cargo
general layout,design
ico mode,fuel / energy / charging
auto gearbox,transmission
performance advantage,performance
lift items,boot / cargo
cover,exterior materials & finish
at speed,acceleration
suspension(sport),suspension
side pillars,chassis / structural
aesthetics,design
luxury spectrum,emotional & sensory experience
central seat,seats
lifting things,boot / cargo
detailing,design
wooden effect,interior materials & trim / finish
rear suspension,suspension
agility switch,driving dynamics / handling
rs7,model / generic car terms
boot light,lighting / indicators
haptic feedback,driving dynamics / handling
reversing camera,driver assistance
shifting,transmission
curves,body class
exhaust tips,exhaust
charging panel,fuel / energy / charging
windows down,aerodynamics / airflow
q7,model / generic car terms
four cylinder engine,engine / power train
shopping bag hookers,storage & utility
headroom (people over six foot),passenger space
boot shape,design
understeer,steering
engine brace,engine / power train
well being spoiled recreation thing,emotional & sensory experience
finish,interior materials & trim / finish
belt line,exterior materials & finish
lobe,engine / power train
footstool,seats
virtual cockpit,displays / instrumentation
sports package,packages / trims / variants
r8,model / generic car terms
cylinder,engine / power train
a7,model / generic car terms
front grill,grill
views,visibility & view
drive train flooring,drive
exhaust clip,exhaust
slow road,model / generic car terms
seat release,seats
acceleration from stop,acceleration
emergency service,road terrain
formula,performance
power seats,seats
touchscreen,displays / instrumentation
stripe,design
dit,engine / power train
display,displays / instrumentation
electrification,fuel / energy / charging
charging sockets,fuel / energy / charging
basic five series,model / generic car terms
base car,model / generic car terms
feeling,emotional & sensory experience
rear wheel,drive
petrol models,fuel / energy / charging
refinement,emotional & sensory experience
c 220,model / generic car terms
settings,model / generic car terms
rear view camera,visibility & view
individual setting,model / generic car terms
adjustability,functional features
places,passenger space
flat upshift,transmission
reclining,seats
front brakes,brake
generation,model / generic car terms
nets,storage & utility
throttle response,model / generic car terms
sea level,road terrain
fuel economy,fuel / energy / charging
adaptive dampers,suspension
sport mode suspension,suspension
machine,generic description & miscellaneous
graphics screen,displays / instrumentation
seating,seats
built in sundress holder,storage & utility
going fast,acceleration
gearbox,transmission
cargo floor,boot / cargo
roll bars,traction / stability
kids,passenger space
back camera,cameras
distance driving,design
mercedes a class,model / generic car terms
dynamic package,packages / trims / variants
launch time,acceleration
shifter,transmission
bumps,road terrain
lettering feature,functionality & features
set buttons,model / generic car terms
mix and match settings,model / generic car terms
new look,design
pedal,brake
travel,distance / efficiency / mileage
front doors,doors
s tronic,model / generic car terms
"bmw 3 40 i , drive",model / generic car terms
500e,model / generic car terms
mercedes-benz gcl,model / generic car terms
corner,cornering
bmw two series,model / generic car terms
cup holder,storage & utility
quattro,model / generic car terms
sl s amg,model / generic car terms
trade off,value / cost
energy harvesting,fuel / energy / charging
i drive,drive
three adults in the back,passenger space
mercedes-benz g . l . a,model / generic car terms
pickup range,distance / efficiency / mileage
glc,model / generic car terms
overall,generic description & miscellaneous
ventilated seat option,seats
rs three,model / generic car terms
steering weight,weight
traditional sedan,body type
-,unknown
cutout design,design
battery size,model / generic car terms
phone spot,connectivity / integration
positioning of steering wheel,steering
stitched button,model / generic car terms
audi rs4,model / generic car terms
audi,model / generic car terms
putting gear,model / generic car terms
acoustic windscreen,windscreen / wipers
door bin back,storage & utility
four wheel drive traction,drive
tech display,technology
dynamic damper control,suspension
upgraded command system,software / interaction
premium plus package,packages / trims / variants
sitting position,model / generic car terms
appearance,design
stunning,emotional & sensory experience
construction technique,technology
exhausts,exhaust
s c car,model / generic car terms
get in and out -back,doors
character,emotional & sensory experience
1.6 litre petrol engine,engine / power train
equipment,equipment
material on the glove box,boot / cargo
steering (sports),steering
gear selector,transmission
m6,model / generic car terms
19 inch wheels,wheels & tyres
a4  g5 seating,seats
force,performance
engine choice,engine / power train
engine mounts,engine / power train
image,design
competion choices,road terrain
360 degree surround camera,cameras
tri color logo,design
wear,quality & durability
mercedes,model / generic car terms
mercedes s class coupe a8,body type
proportions,design
qualities,quality & durability
tt cornering,cornering
touch screen,displays / instrumentation
get in back,doors
engine choices,engine / power train
split gate,boot / cargo
place,passenger space
spend extra on adaptive suspension,suspension
limit,performance
steering and lane controlled assistant,steering
cup holders,storage & utility
normal comfort suspension,comfort & ergonomics
instrument gearbox,transmission
safe,safety
gear changes,transmission
adaptive suspension,suspension
gear shift,transmission
trim (inside),design
map view,visibility & view
seat pockets,storage & utility
wing mirrors,mirrors
noise suppression,audio
s5,model / generic car terms
bc imports,connectivity / integration
seat cover,seats
upshift,transmission
change direction,steering
anchor points,safety
sls,model / generic car terms
warning,safety
manoeuvring at low speed,steering
feet,passenger space
luxury items,emotional & sensory experience
magic sky roof,roof
load bay,boot / cargo
v 10 plus,model / generic car terms
boot opening,doors
price tag,road terrain
tire,wheels & tyres
edition,packages / trims / variants
descent,road terrain
bmw 360 degree surround camera,model / generic car terms
fridge,storage & utility
fold third row,comfort & ergonomics
charging,fuel / energy / charging
bonnet opening,bonnet
bigger bumps,road terrain
practicality,comfort & ergonomics
ionic,fuel / energy / charging
climate controls action,climate / temperature control
noises,audio
grab handle,doors
dynamic handling package,driving dynamics / handling
electric engine,engine / power train
back seating,seats
styling cars,design
audi tt,model / generic car terms
automatic engines start stop system,engine / power train
dirt road,road terrain
seats down,seats
packaging,generic description & miscellaneous
plugin hybrids,fuel / energy / charging
individual mode,driving dynamics / handling
base price,road terrain
backseat legroom,passenger space
performed,performance
hood vent,aerodynamics / airflow
torque rating,engine / power train
delay,performance
bmw m6,model / generic car terms
control system,software / interaction
race track,road terrain
premium plus package price,value / cost
creases,body class
s line ride,drive
rear passenger,passenger space
getting in the back,doors
cummings,generic description & miscellaneous
dynamic clutch,transmission
m5 designation within tachometer,design
offroad height raise,road terrain
spaciousness,passenger space
road demeanor,road terrain
first few miles,distance / efficiency / mileage
road holding,road terrain
three in the back,passenger space
ergonomics,comfort & ergonomics
entry,doors
platform,chassis / structural
city noise,audio
air intake,aerodynamics / airflow
wheels,wheels & tyres
dash,displays / instrumentation
side skirts,side section
acoustic glass,windows / glass
ipad stall screen,displays / instrumentation
roof spoiler,roof
back side headspace,passenger space
door down head,doors
remote gesture control,gesture / motion controls
noise levels,audio
quilted leather,interior materials & trim / finish
tour curve,road terrain
entire engine lineup,engine / power train
a6 backseats,seats
s class front seat,model / generic car terms
roof panel,roof
vehicle,generic description & miscellaneous
roof down,roof
average speed,acceleration
storage,storage & utility
middle seat legroom,passenger space
full multi beam led headlights,lighting / indicators
front wheel drive,drive
wheel,wheels & tyres
inside looks,design
windscreen signature,windscreen / wipers
seatbelt straps,seats
center arm,seats
lift gate,boot / cargo
sand,road terrain
gt three bumpy road,model / generic car terms
interior color,design
right hand drive steering wheel,steering
customization,functionality & features
three series,model / generic car terms
phone cradle,connectivity / integration
few bumps,road terrain
interior trim,design
sound insulation,audio
mile above sea level,distance / efficiency / mileage
rear track,dimensions & measurements
equipped levels,equipment
tailgate,boot / cargo
air events,aerodynamics / airflow
storage(front passenger seat),storage & utility
car engineering,engine / power train
brake pedal field,brake
general goodness,functionality & features
cabins,interior
back seat space,passenger space
windshield  intensity,windscreen / wipers
option list,options & specifications
sport seats,seats
brake discs,brake
command system,voice & commands
roof bars,roof
operation,functionality & features
model,model / generic car terms
220 c d engine,engine / power train
ground clearance,dimensions & measurements
hands free,voice & commands
front storage kit,storage & utility
accelerating in comfort mode,comfort & ergonomics
carry three passengers in back,passenger space
new q3,model / generic car terms
modes,driving dynamics / handling
get snow off the car,road terrain
price,value / cost
steering feedback,steering
lip,aerodynamics / airflow
back piano plastic,interior materials & trim / finish
second row sound,audio
wind intakes,aerodynamics / airflow
cabin,interior
smaller bumps,road terrain
sensors,connectivity / integration
spokes,wheels & tyres
top down,roof
color tone,design
trip computer,displays / instrumentation
door handle,doors
panel gaps,build quality / construction
pure electric range,fuel / energy / charging
load space,passenger space
hierarchy,packages / trims / variants
hold assist price,driver assistance
rs4,model / generic car terms
finishes,interior materials & trim / finish
tray,storage & utility
innovations,technology
blind state monitoring,visibility & view
front suspension,suspension
fuel,fuel / energy / charging
damp,suspension
netting,storage & utility
dynamic cruise control,driver assistance
amenities,functional features
parking guidance system,driver assistance
turbo petrol,fuel / energy / charging
door,doors
pedals and springs,brake
massage,comfort & ergonomics
built,build quality / construction
feature set,functionality & features
cargo hold,boot / cargo
lincoln m . k . c,model / generic car terms
launch control,acceleration
options,software / interaction
compartment,storage & utility
rain,road terrain
climate control dials,physical controls
badge,design
metal area,exterior materials & finish
electric steering,steering
bmw,model / generic car terms
happenings,emotional & sensory experience
real world testing,performance
audi badge,design
wagon,body type
low speed,acceleration
front brakes discs,brake
glove box space,passenger space
navigating menus,software / interaction
glass,windows / glass
skin,interior materials & trim / finish
leather upgrade cost,interior materials & trim / finish
response,driving dynamics / handling
foot and leg rest,seats
button,model / generic car terms
dead paddle,physical controls
cell,connectivity / integration
door,doors
audi a8,model / generic car terms
command online system,voice & commands
wagon load,body type
swivel,physical controls
body lines,body class
bmw seven series,model / generic car terms
s c suspension,suspension
hybrid,fuel / energy / charging
disk,brake
drive train,drive
wheel arch intrusion,exterior materials & finish
entry level diesel engine,engine / power train
upgraded screen,displays / instrumentation
optional baskets,storage & utility
rear headrooms,passenger space
gesture controls,gesture / motion controls
sensation,emotional & sensory experience
e brake,brake
plastic,exterior materials & finish
camera review,visibility & view
pull,acceleration
coupe,body type
my vehicle,generic description & miscellaneous
head unit,displays / instrumentation
sports standard,driving dynamics / handling
in the car,model / generic car terms
driver seat heat dissipation,drive
rear seat combination,seats
boot capacity,boot / cargo
quattro system,model / generic car terms
satnav,navigation / mapping
load floor,boot / cargo
center console,software / interaction
screen display,displays / instrumentation
driving cars,drive
driver assistant system,drive
category,generic description & miscellaneous
cabriole,body type
driving function,drive
front seat side bolster,seats
central armrest,seats
accelerations,acceleration
sunshades,comfort & ergonomics
drag,aerodynamics / airflow
steering sensitivity,steering
stop start system,brake
backseat functions,functional features
warning sound,audio
benefits,value / cost
suspension spring,suspension
glc c300,model / generic car terms
offroadinfg,road terrain
accelerates,acceleration
stuff,generic description & miscellaneous
side bolsters,seats
intakes,aerodynamics / airflow
normal suspension,suspension
car,generic description & miscellaneous
wheel base,chassis / structural
feel,emotional & sensory experience
support under legs,seats
reversing camera definition,driver assistance
adjustment,functional features
top end rush,acceleration
supercar,model / generic car terms
magnifying glass,visibility & view
winding roads,road terrain
quattro wheel drive,model / generic car terms
door mirror controller,doors
electric platform,chassis / structural
opening bonnet,bonnet
three litre v sixty,engine / power train
bmw i a8 price,model / generic car terms
fuel efficiency,fuel / energy / charging
storage cubbies,storage & utility
a7 price,model / generic car terms
crevice,road terrain
features,functionality & features
battery pack,model / generic car terms
sound,audio
engine start,engine / power train
exhaust crackle,exhaust
rough terrain,road terrain
exhaust pipe,exhaust
magic sky feature,functionality & features
boot useful features,boot / cargo
massaging function,seats
stereo,audio
engineering prowess,engine / power train
neighs,emotional & sensory experience
f40 5 a.m. g,model / generic car terms
audi x1,model / generic car terms
steering (sports mode),steering
snow storm,road terrain
steering (dynamic mode),steering
gear shifter,transmission
pine white,exterior materials & finish
version,packages / trims / variants
get out,doors
electricity fuel,fuel / energy / charging
v8 engine,engine / power train
x1,model / generic car terms
climate control location,climate / temperature control
s6,model / generic car terms
blind spot warning,safety
equipped,equipment
rear seats,seats
brake pedal,brake
tracks drive,drive
eco pro,fuel / energy / charging
braking feel,emotional & sensory experience
turning,cornering
any given road,road terrain
carpet,model / generic car terms
loading heavy cargo,boot / cargo
steering,steering
see,visibility & view
technology pack cost,value / cost
x line up,packages / trims / variants
inside,interior
work tables,storage & utility
patterns,model / generic car terms
underneath coating,exterior materials & finish
trim,design
ownership proposition,seats
second row legroom,passenger space
hold assist system,driver assistance
interior color choices,design
foot brake,brake
torque capability,engine / power train
parking assist,driver assistance
base engine,engine / power train
software,software / interaction
field,road terrain
fourth gear,transmission
camera gun,cameras
universal garage door opener,doors
front wheels,wheels & tyres
third generation,model / generic car terms
backseat environment,comfort & ergonomics
few buttons,model / generic car terms
new platforms,chassis / structural
package,packages / trims / variants
