,aspect,base_category
134,offroad,road terrain
135,off road,road terrain
136,netted areas,model / generic car terms
137,efficiency mode,fuel / energy / charging
138,manual,transmission
139,drive train flooring,drive
140,badge,design
142,mountains,road terrain
143,air purification system with perfume,aerodynamics / airflow
144,power,engine/ power train
145,energy,fuel / energy / charging
146,highway efficiency,road terrain
147,c 250 d,model / generic car terms
148,look over shoulder,visibility & view
149,reversign camera,cameras
150,audi a6,model / generic car terms
151,trunk shape,boot/cargo
152,silver screen,displays / instrumentation
153,x3,model / generic car terms
154,changing gears using paddles,transmission
155,steering wheel shape,steering
156,battery size,model / generic car terms
157,no control for rear window,aerodynamics / airflow
158,c class,model / generic car terms
159,exhaust tips,exhaust
160,gear shifts,transmission
163,footroom,passenger space
164,incredibly tight street,road terrain
165,fixed covers,exterior materials & finish
167,battery location,model / generic car terms
169,diesel model fuel tank,fuel / energy / charging
170,window line,aerodynamics / airflow
171,maximum cargo space,climate / temperature control
172,audio systems,model / generic car terms
173,turbos,engine/ power train
174,family seat,seats
176,anti-roll bars,traction / stability
177,slippery track,model / generic car terms
178,carbon trim price,interior materials & trim / finish
179,offroad driving,drive
180,tailgated,boot/cargo
181,map,navigation / mapping
182,smoke,exhaust
183,exhaust clip,aerodynamics / airflow
184,virtual cockpit instrument,displays / instrumentation
185,accents,climate / temperature control
186,throttle,model / generic car terms
187,tailpipes,exhaust
188,front seats,seats
190,pockets in backseat,climate / temperature control
192,events,aerodynamics / airflow
193,price,road terrain
194,settings,model / generic car terms
196,tie down tethers,boot/cargo
197,upshift,transmission
198,wagon load,body type
200,gear changes,transmission
201,audio,model / generic car terms
202,high pressure oil system,engine / power train
203,remote key operations,driver assistance
205,automatic engine start stop system,engine / power train
206,nine speed automatic,transmission
207,middle seat,seats
208,side collision avoidance system,safety
209,0 to 60 spread,acceleration
210,upgraded command system,software / interaction
211,digital dollars,value / cost
212,hold assist system,driver assistance
214,legroom,passenger space
215,aesthetics,design
216,motorway,engine/ power train
217,qa8,model / generic car terms
218,dynamics,Driving Dynamics / Handling
219,sport steering,steering
220,front seat set,seats
221,traditional sedan,body type
222,window ledge,lighting
223,virtual cockpit,displays / instrumentation
224,door mirror controller,doors
225,sight,visibility & view
226,back window,climate / temperature control
227,operating window,aerodynamics / airflow
228,usb charging ports,connectivity / integration
229,any given road,road terrain
230,door bin,storage & utility
231,capacity,climate / temperature control
233,power trade,engine/ power train
234,cabinets,storage & utility
235,cars,model / generic car terms
236,gear selector,transmission
237,take off,acceleration
238,option packages,climate / temperature control
239,brake temperature,brake
240,eight speed automatic transmission,transmission
241,hatchback tailgate,climate / temperature control
242,lower section,boot/cargo
243,load space,climate / temperature control
244,flipping down the second row seats,aerodynamics / airflow
245,corner in wet weather,road terrain
246,f40 5 a.m. g,model / generic car terms
247,carrying three in the back,climate / temperature control
248,surround view parking,visibility & view
249,oversteer,steering
251,charging the battery,model / generic car terms
252,ground clearence,dimensions & measurements
253,storage jets,storage & utility
254,tray storage,storage & utility
255,laser lights,lighting
256,tech features,software / interaction
257,fitting a child seat,model / generic car terms
258,navigation system,navigation / mapping
260,seat release,seats
261,carbon fibre trim,interior materials & trim / finish
262,visibility,visibility & view
263,momentum99 fuel,fuel / energy / charging
265,audi q5,model / generic car terms
266,assist,driver assistance
267,menus,software / interaction
268,drive long way,drive
269,silhouette,model / generic car terms
270,a7 practicalty,Comfort & Ergonomics
271,backseat for people over 6 4,climate / temperature control
272,center stack,climate / temperature control
273,cornering,cornering
274,paddles,physical controls
275,folders,storage & utility
276,side bolsters,seats
277,back digital climate control,climate / temperature control
278,engine start stop system,engine / power train
279,racket,climate / temperature control
280,electrically operated steering column,steering
281,rear executive seat package,climate / temperature control
282,moonroof,roof
284,turn in,cornering
285,trim,interior materials & trim / finish
286,steering system,steering
288,backseat,climate / temperature control
289,unfamiliar back roads,climate / temperature control
290,wifi connectivity,connectivity / integration
291,gear selector knob,transmission
292,servicing,value / cost
293,audi r8,model / generic car terms
294,shacks,climate / temperature control
295,sport suspension,suspension
297,hybrid,fuel / energy / charging
298,extra bracing,climate / temperature control
299,parking center switch,parking
300,boot lip,aerodynamics / airflow
301,head unit,displays / instrumentation
302,integrated laser lights,lighting
303,new technology,software / interaction
305,extra bits of trim,interior materials & trim / finish
306,camera review,visibility & view
307,center arm,seats
308,residual value,value / cost
309,tour curve,road terrain
310,automatic gear selector,transmission
311,three people in the back,climate / temperature control
312,comfrot mode ride,drive
313,rear seat legroom,seats
314,dynamic steering,steering
315,cargo space,climate / temperature control
317,highway,road terrain
318,top down air,roof
320,street limit,road terrain
321,back seating,climate / temperature control
322,audi grills,model / generic car terms
323,protection,safety
324,rear space,climate / temperature control
325,panoramic glass freeze,roof
326,hatchback,climate / temperature control
327,pillows,seats
328,wood trim effect,interior materials & trim / finish
329,carrying three in back,climate / temperature control
330,detail lights,lighting
331,security,safety
332,straight driving,drive
333,auto driving,drive
334,engine versions,engine / power train
335,audi a7,model / generic car terms
336,phone cradle,connectivity / integration
337,dash angles,displays / instrumentation
338,image,design
339,design feature,design
340,no underfloor storage,storage & utility
341,driver seat heat dissipation,drive
342,rollover,safety
343,dynamic damper control,suspension
344,rpm band,engine/ power train
345,driving cars,drive
346,fold down receipts,Comfort & Ergonomics
347,overall look,design
349,360 degree camera system,cameras
350,magic body control,body class
351,nine speed automatic transmission,transmission
352,automatic acceleration,climate / temperature control
354,lighting,lighting
357,base price,road terrain
358,sound level,audio
359,dynamic clutch,transmission
360,crystal knob,physical controls
361,volvo xc60 offroad,road terrain
363,rough road,road terrain
364,satellite system,navigation / mapping
365,dry condition,road terrain
367,carrying stuff,boot/cargo
368,material on the glove box,boot/cargo
369,tracks,climate / temperature control
370,middle seat footroom,seats
371,carplay connectivity,connectivity / integration
374,rear passenger space,climate / temperature control
375,command,voice & commands
376,bumper sticks,road terrain
377,number keypad,physical controls
378,folds in back seat,climate / temperature control
379,corner grip,traction / stability
380,acceleration in efficiency mode,climate / temperature control
381,long drives,drive
382,leds,lighting
383,flat upshift,transmission
384,tt,model / generic car terms
385,parallel parking,parking
386,ecosystem,connectivity / integration
388,switches and dials,displays / instrumentation
390,rear bumper,road terrain
391,stripe,design
393,electronically controlled dampers,lighting
394,g l e 63,model / generic car terms
395,sand dunes,road terrain
396,sit,seats
397,steering reflexes,steering
398,charging,fuel / energy / charging
399,foot brake,brake
400,automatic tailgate,boot/cargo
401,gear change sound,transmission
402,grips,traction / stability
403,front discs,brake
404,a5 cooper,model / generic car terms
405,glass,windows / glass
406,practicalities,Comfort & Ergonomics
407,front seat,seats
408,electric steering,steering
409,at speed,acceleration
410,seating position,seats
411,new g class,model / generic car terms
412,average speed,acceleration
413,video chip,displays / instrumentation
414,a4 dual clutch,transmission
415,power band,engine/ power train
416,cushion,seats
417,wind noise,audio
418,windows,aerodynamics / airflow
419,off roader,road terrain
420,steering,steering
421,box,boot/cargo
422,types of suspension,suspension
423,main screen,displays / instrumentation
424,booth,boot/cargo
425,m5,model / generic car terms
426,antiroll bars,traction / stability
427,rough surface,climate / temperature control
428,bmw badge,model / generic car terms
429,supercar,model / generic car terms
430,overall interior quality,interior
431,central armrest,seats
432,semi autonomous driving system,drive
433,outside,body class
434,driving position ground clearance,drive
435,back pillars,climate / temperature control
436,door down head,doors
437,running cost,value / cost
438,transmission,transmission
439,bmw two series,model / generic car terms
441,choice,road terrain
442,s line ride,drive
443,exhaust pipe surround,exhaust
445,stability,traction / stability
446,virtual cockpit,displays / instrumentation
447,entertainment screen passenger view,visibility & view
448,turns,cornering
449,front end grip,traction / stability
450,four zone climate control,climate / temperature control
451,rear parking sensors,parking
452,newest s class,model / generic car terms
453,a piece of plastic,exterior materials & finish
454,acceleration,climate / temperature control
455,offroad mode,road terrain
458,steering control,steering
459,rough roads,road terrain
460,receiving position,seats
461,get in the back,climate / temperature control
462,get in and out -front,doors
464,drive position,drive
465,third row seat,seats
466,touch,gesture / motion controls
467,air suspension,suspension
468,headroom,passenger space
469,arm,seats
470,styling,design
471,wheel arch,wheels & tyres
472,blue and red stitches,interior materials & trim / finish
474,s tronic gearbox,model / generic car terms
475,door close,doors
476,front story jacket,climate / temperature control
477,tank,fuel / energy / charging
478,look,design
479,rear parking,parking
480,virtual cockpit,displays / instrumentation
481,software,software / interaction
482,magic body control camera,body class
483,drag,aerodynamics / airflow
484,bmw entertainment system,model / generic car terms
485,screens,displays / instrumentation
486,gesture commands,gesture / motion controls
487,optional surrounding cameras,cameras
488,alcantara,interior materials & trim / finish
489,goes over bumps,road terrain
490,gearbox,transmission
491,air deflector,aerodynamics / airflow
492,front wheels,wheels & tyres
493,sporting events,aerodynamics / airflow
494,speed up,acceleration
495,engine brace,engine / power train
496,noise levels,audio
497,second row seat,seats
499,screen clarity,displays / instrumentation
500,inside,interior
501,edges,body class
502,virtual 360 degree cameras,cameras
504,middle headroom,passenger space
505,gearbox auto mode,transmission
506,seat belt,seats
507,premium plus package price,climate / temperature control
508,blind spot,safety
509,opening,doors
510,front seat control,seats
511,road demeanor,road terrain
513,acoustic windscreen,climate / temperature control
514,light cover,lighting
515,rear armrest,seats
516,long in the car,Comfort & Ergonomics
517,audi a one s line,model / generic car terms
518,electric lumbar support,seats
519,performance amount,performance
521,tech,software / interaction
522,drive in town,drive
524,back seat control,climate / temperature control
525,public roads,road terrain
526,bmw a8,model / generic car terms
528,rs5 looks,model / generic car terms
529,goc 43,model / generic car terms
530,quattro drive system,model / generic car terms
532,seatback release,climate / temperature control
533,fuel economy,fuel / energy / charging
535,long distances,design
536,body panels,body class
537,old v8 sound,engine/ power train
538,motor,engine/ power train
539,wet road,road terrain
540,turbo petrol engine,engine / power train
541,bmw a8 plug in hybrid,fuel / energy / charging
543,door handle inserts,doors
544,door,doors
545,ashtray,storage & utility
546,road conditions,road terrain
547,bodywork,body class
548,rain sensing windshield wiper,aerodynamics / airflow
550,warning,safety
551,downforce,aerodynamics / airflow
552,button to open the boot,model / generic car terms
554,s5 sport back launch,model / generic car terms
557,lifespan,value / cost
558,window lead,aerodynamics / airflow
559,digital display,displays / instrumentation
560,bmw seven series,model / generic car terms
561,glovebox,boot/cargo
562,offset pedals,brake
565,third row space,climate / temperature control
567,a4 quatro,model / generic car terms
568,performance,performance
569,entry level diesel engine,engine / power train
570,individual setting,model / generic car terms
571,build,build quality / construction
572,cargo volume,boot/cargo
574,back windows,climate / temperature control
576,cargo hold,boot/cargo
577,shifts,transmission
578,load lifter,boot/cargo
579,damp,suspension
580,virual cockpit,displays / instrumentation
581,upgraded sound system,audio
582,pedals and springs,brake
584,tri color logo,design
585,rapid charging,fuel / energy / charging
586,tailgate,boot/cargo
587,voice recognition system,voice & commands
588,noise suppression,audio
590,child seats,seats
591,output figures,engine/ power train
592,downhill,road terrain
594,rubber,exterior materials & finish
595,zero petrol use,fuel / energy / charging
596,thirdrow seats,seats
597,two litre turbo size,engine/ power train
598,rear window shades,aerodynamics / airflow
600,exhaust crackle,climate / temperature control
601,charging sockets,fuel / energy / charging
602,performance figures,performance
603,pure electric range,fuel / energy / charging
604,battery management system,model / generic car terms
605,piston calliper,aerodynamics / airflow
606,theme,design
607,arm rest,seats
608,hold feature,driver assistance
609,cooling ducts,aerodynamics / airflow
610,air suspension comfy setting,Comfort & Ergonomics
611,power seats,seats
612,wooden wheel arches,wheels & tyres
613,dry road,road terrain
614,mix and match settings,model / generic car terms
615,cell phone spot,connectivity / integration
616,magic sky roof,roof
618,massaging function,seats
619,satellite navigation system,navigation / mapping
620,practicality,Comfort & Ergonomics
621,rear peasant blocker,visibility & view
623,rear passenger,passenger space
624,wheels,wheels & tyres
625,cruising around,driver assistance
626,audi rs,model / generic car terms
627,air scarf,aerodynamics / airflow
628,slow road,model / generic car terms
629,digital dash,displays / instrumentation
630,charging points,fuel / energy / charging
631,wind whistles,audio
632,sports car,model / generic car terms
633,carbon footprint,model / generic car terms
634,rear windows,aerodynamics / airflow
635,x drive system,drive
636,mercedes s class coupe a8,model / generic car terms
638,power release,engine/ power train
639,bmw backseat,model / generic car terms
640,dynamism,Driving Dynamics / Handling
641,remote driving,drive
643,two litre engine,engine / power train
644,saloon s5 headroom,model / generic car terms
645,drivability,Driving Dynamics / Handling
646,view from back,climate / temperature control
647,sport driving,drive
648,coupe,body type
649,seat,seats
650,car engineering,engine / power train
652,footstool,seats
653,packaging,climate / temperature control
654,manual mode transmission,transmission
655,gear stuff,transmission
656,shock absorbers,brake
657,load,boot/cargo
658,bmw s4,model / generic car terms
659,phone box,boot/cargo
661,carbon ceramic discs,brake
662,technology pack,climate / temperature control
663,stereo,audio
664,second row legroom,passenger space
665,reversing camera,driver assistance
667,rear headroom,passenger space
668,dual clutch,transmission
669,corner handle,cornering
670,automatic emergency breaking,brake
671,experience in town (drive),drive
672,dirt,road terrain
673,headroom backseat,climate / temperature control
674,alloys,wheels & tyres
675,design quality,design
677,cold weather,road terrain
678,interior sophistication,interior
679,rs6 color,model / generic car terms
681,door,doors
682,pine white,exterior materials & finish
683,rs6 everyday performance,model / generic car terms
684,exhaust noise (dynamic mode),exhaust
685,cabin layout,interior
686,straight line,road terrain
687,roof up and down,roof
688,sharp bumps,road terrain
689,views,visibility & view
690,body control,body class
691,torque vectoring,engine/ power train
692,glovebox size,boot/cargo
694,back door bins,climate / temperature control
695,comfy setting,Comfort & Ergonomics
696,maneuvaribility,steering
697,safety technology,safety
699,climate control location,climate / temperature control
700,steering (sports mode),steering
701,body roll,body class
702,parcel shelf,storage & utility
703,base x1,model / generic car terms
704,a one,model / generic car terms
705,in the car,model / generic car terms
706,outside wheels,wheels & tyres
707,top down,roof
708,normal mode sound,audio
709,extend front part seat,seats
710,profile,design
713,speed limiter,acceleration
714,storage cover,storage & utility
715,lift gate,boot/cargo
716,acoustics,climate / temperature control
717,smooth road,road terrain
718,storage by steering,steering
720,quadrille wheel drive,drive
721,shape,design
722,side finish,interior materials & trim / finish
723,0 to 60 acceleration,climate / temperature control
724,mode,Driving Dynamics / Handling
725,load height,boot/cargo
726,comfort package,Comfort & Ergonomics
727,launch time,acceleration
728,entertainment system view,visibility & view
729,right on the road,road terrain
730,passenger space,climate / temperature control
731,gt three wet road,model / generic car terms
733,roofline,roof
734,steering response,steering
736,audi tt,model / generic car terms
737,usability,Comfort & Ergonomics
738,audi x3,model / generic car terms
739,shortcut buttons,model / generic car terms
740,stick shift,transmission
741,build quality,build quality / construction
742,media centre,displays / instrumentation
743,sports plus exhaust,exhaust
744,back pillar,climate / temperature control
746,mercedes-benz design,model / generic car terms
747,warranty,value / cost
748,sitting position,model / generic car terms
750,backend capacity,climate / temperature control
751,powertrain,engine/ power train
752,q a8,model / generic car terms
753,rear pillars,visibility & view
754,roof spoiler,fuel / energy / charging
756,charge,fuel / energy / charging
757,auto emergency braking,brake
758,entertainment system,software / interaction
759,gearbox mannual mode,transmission
760,profiles,software / interaction
761,tracks drive,drive
762,rear view,visibility & view
763,wing mirrors,mirrors
764,head restraints,seats
765,all controls,physical controls
766,car,model / generic car terms
767,balance point,traction / stability
768,room inside,interior
769,precision,Driving Dynamics / Handling
771,control over driving,drive
772,automated tailgate,boot/cargo
773,central seat,seats
774,cargo area,boot/cargo
775,traction control system,climate / temperature control
776,throttle response,model / generic car terms
777,driving,drive
780,premium plus package,climate / temperature control
781,magic vision control,driver assistance
782,v 10 plus,model / generic car terms
783,covering,exterior materials & finish
784,newest s class price,model / generic car terms
785,petrol engine,engine / power train
786,mapping,navigation / mapping
787,gt-r,model / generic car terms
788,mercedes-benz system,model / generic car terms
789,normal screen,displays / instrumentation
790,augmented reality satellite navigation system,navigation / mapping
791,springs,suspension
792,two litre diesel engine,engine / power train
793,third row,passenger space
794,structural rigidity,chassis / structural
795,value for money,value / cost
796,head room,passenger space
797,dump control,suspension
799,quattro ultra system,model / generic car terms
800,bmw,model / generic car terms
801,x5,model / generic car terms
802,smaller people,passenger space
803,accelerating in comfort mode,Comfort & Ergonomics
804,review,visibility & view
806,grips in the corners,traction / stability
807,base engine,engine / power train
808,stronic transmission,transmission
810,q7,model / generic car terms
811,getting stuff in and out,model / generic car terms
812,air breather,aerodynamics / airflow
814,battery pack,model / generic car terms
815,finish,interior materials & trim / finish
816,soundproofing,roof
817,estate,body type
818,dashes,displays / instrumentation
819,dynamic cruise control,driver assistance
820,air events,aerodynamics / airflow
821,torque redirection,engine/ power train
822,heavy items,boot/cargo
823,steering guidance,steering
824,reading lights,lighting
825,mid corner,cornering
826,s three price,road terrain
827,50 d engine,engine / power train
828,voice recognition,road terrain
830,foot wells,passenger space
831,petrol consumption,fuel / energy / charging
832,back light bar,climate / temperature control
833,under floor storage,storage & utility
834,quattro drive,model / generic car terms
835,tyres,wheels & tyres
836,plastics,exterior materials & finish
837,ico mode,fuel / energy / charging
839,back get in,climate / temperature control
840,automatic engine shutoff,engine / power train
841,parkability,parking
842,information display,displays / instrumentation
843,off roading,road terrain
844,twist road,road terrain
845,little fasting,model / generic car terms
847,horsepower,engine/ power train
848,assisst,driver assistance
850,trunk capacity,climate / temperature control
852,trim without extra bits,interior materials & trim / finish
853,widescreen setting,model / generic car terms
854,most plastics,exterior materials & finish
855,performers,performance
856,review of car,visibility & view
857,go to 50,acceleration
859,long distance,design
861,dead paddle,physical controls
862,delivery,value / cost
863,windscreen signature,windscreen / wipers
864,ride,drive
865,carrying three people in back,climate / temperature control
866,upgraded satellite system,navigation / mapping
867,automatic engines start stop system,engine / power train
868,aerodynamics,Driving Dynamics / Handling
869,adjustments,Comfort & Ergonomics
870,turbulence,aerodynamics / airflow
872,gear change,transmission
873,cruise,driver assistance
874,door plastics,doors
875,storage nooks,storage & utility
876,fender flares,wheels & tyres
877,rs5,model / generic car terms
878,back headroom,climate / temperature control
879,high speeds,acceleration
880,steers,steering
881,adult occupant protection in the crash test .,safety
883,noise,audio
884,stop,brake
885,upgraded screen,displays / instrumentation
887,satnav system,navigation / mapping
888,accelerating,climate / temperature control
889,steering wheel,steering
891,mud,road terrain
892,front doors,doors
893,winding mountain roads,road terrain
894,steering wheel controls,steering
896,exterior color,exterior materials & finish
897,side pillars,visibility & view
898,seat buttons,model / generic car terms
899,false floor storage,storage & utility
902,x drive,drive
904,rear view mirror,visibility & view
905,dynamic mode air suspension,suspension
907,new look,design
908,carrying larger items,boot/cargo
909,engine range,engine / power train
910,slope,model / generic car terms
911,climate controls,climate / temperature control
912,weight,weight
913,piloted drive system,drive
914,climate control buttons,model / generic car terms
915,widescreen,displays / instrumentation
916,3 50 d price,road terrain
917,sub menus,software / interaction
918,tight spaces,climate / temperature control
919,reliability,value / cost
920,x1,model / generic car terms
922,remote gesture control,gesture / motion controls
923,screen,displays / instrumentation
924,tire noise,audio
925,auto-breaking,brake
926,carsick people,model / generic car terms
927,leather,interior materials & trim / finish
928,drive in narrow streets,drive
929,back camera,climate / temperature control
930,gearboxes,transmission
931,electric motor,engine/ power train
933,store,storage & utility
934,command system,voice & commands
935,offer,value / cost
936,headrest,seats
937,front motor setup,engine/ power train
938,hook,Comfort & Ergonomics
939,front brakes,brake
940,front seating,seats
941,steerring wheel,steering
942,s5 sport back torque,model / generic car terms
943,bumpy road,road terrain
944,aerodynamic,aerodynamics / airflow
945,bmw i a8,model / generic car terms
946,door mirrors,mirrors
947,uphill drive,drive
948,sport mode suspension,suspension
949,spokes,wheels & tyres
950,extinct traction,climate / temperature control
951,fit and finish,interior materials & trim / finish
952,center screen,displays / instrumentation
953,engine auto cut off,engine / power train
954,bumpers,road terrain
955,analog dials,displays / instrumentation
956,rear lights,lighting
957,accelerates,climate / temperature control
958,roar,audio
959,cruising ability,driver assistance
960,bmw i three,model / generic car terms
961,winding roads,road terrain
962,bmw three series new,model / generic car terms
963,speaker sound system,audio
964,packs,climate / temperature control
965,side vents,aerodynamics / airflow
966,wheelbase,chassis / structural
967,distance driving,drive
968,g l a4,model / generic car terms
969,interior quality,interior
970,accelerations,climate / temperature control
971,roof line,roof
972,laser beam headlights,lighting
973,emergency assist,safety
974,sides,body class
975,carbon emission,model / generic car terms
977,engine choices,engine / power train
978,pulling power,engine/ power train
979,gt three dry road,model / generic car terms
980,low speed manoeuvres,acceleration
981,new three series,model / generic car terms
982,prowess,performance
983,headlights,lighting
984,reversing with assistant,driver assistance
985,a4 ultra,model / generic car terms
986,glass elements,windows / glass
987,car interaction,climate / temperature control
988,engine noise,engine / power train
990,window surround,aerodynamics / airflow
992,trunk size,boot/cargo
994,cutaways for covers,exterior materials & finish
995,digital drivers display,drive
996,false floor,boot/cargo
997,piano black trim,climate / temperature control
998,trunks,boot/cargo
999,new engine,engine / power train
1000,e 43 a m g,model / generic car terms
1001,safety features,safety
1003,designed,design
1004,s line indicators,displays / instrumentation
1005,laser headlights,lighting
1006,ceramic brakes,brake
1007,unload,boot/cargo
1009,turning radius,cornering
1010,carbon ceramics,model / generic car terms
1011,chairs,seats
1012,front suspension,suspension
1013,m5 designation within tachometer,model / generic car terms
1015,spaces,climate / temperature control
1016,interface,climate / temperature control
1017,curves,body class
1018,turbo lag,engine/ power train
1019,seating tunnel,seats
1020,fuel efficient,fuel / energy / charging
1021,offroad grip,traction / stability
1023,people over six foot,passenger space
1024,dials,displays / instrumentation
1025,steering at speed,steering
1026,1.5 l engine,engine / power train
1027,moon roof shade,roof
1028,quattro system petrol,model / generic car terms
1029,storage tray,storage & utility
1030,mercedes glc,model / generic car terms
1031,tail lights,lighting
1032,motorways,engine/ power train
1033,back style,climate / temperature control
1035,metal area,exterior materials & finish
1037,child seat base,seats
1038,front engine,engine / power train
1039,gauge display,displays / instrumentation
1040,engine automatic switch off,engine / power train
1041,seat up,seats
1042,a5 seats,model / generic car terms
1043,beeping,audio
1044,backpacks,climate / temperature control
1045,accelerate,climate / temperature control
1046,wheel designs,wheels & tyres
1047,handling limit,Driving Dynamics / Handling
1048,headroom (people over six foot),passenger space
1049,set buttons,model / generic car terms
1050,weight loss,weight
1051,mercedes-benz gcl,model / generic car terms
1052,get in back,climate / temperature control
1053,boot spoiler,fuel / energy / charging
1054,steer,steering
1055,quattro software,model / generic car terms
1056,engineered,engine / power train
1059,fake sound,audio
1060,junctions in efficiency mode,fuel / energy / charging
1061,volvo xc60 room,model / generic car terms
1062,release button for center console,model / generic car terms
1063,sport mode shift,transmission
1064,soft pillow,seats
1066,tire pressure monitoring,wheels & tyres
1067,engine output,engine / power train
1068,price tag,road terrain
1069,glove box latch,boot/cargo
1070,vents,aerodynamics / airflow
1072,sport back,climate / temperature control
1073,bmw x1,model / generic car terms
1074,exhaust systems,exhaust
1075,bonnet opening,doors
1078,patterns,model / generic car terms
1079,compartmentalize stuff,storage & utility
1080,automatic gear,transmission
1081,high load floor,boot/cargo
1083,model,model / generic car terms
1084,braking,brake
1085,iceberg covers,road terrain
1086,lower speed,acceleration
1087,middle chair,aerodynamics / airflow
1088,seat shape,seats
1089,view changes,visibility & view
1091,warning sound,audio
1093,diesel engines,engine / power train
1094,cruise control,driver assistance
1096,selector,physical controls
1097,comfort level,Comfort & Ergonomics
1098,seats,seats
1099,throttle (sport),model / generic car terms
1100,boot space,climate / temperature control
1101,cameras,cameras
1102,gauge setup,displays / instrumentation
1103,e class,model / generic car terms
1104,comforts,Comfort & Ergonomics
1105,offroadinfg,road terrain
1106,quattro,model / generic car terms
1108,driving system,drive
1109,metal roof,roof
1110,bump,road terrain
1111,pulls,acceleration
1113,1.6 litre petrol engine,engine / power train
1114,cabriole price entry point,doors
1115,panels,body class
1116,seating,seats
1118,interior leather,interior
1119,magic sky control,roof
1120,air density,seats
1121,turns in,cornering
1122,windows down,aerodynamics / airflow
1123,key less entry,doors
1124,acceleration noise,climate / temperature control
1125,sporty suspension,suspension
1126,view forward,visibility & view
1127,shift changes,transmission
1128,wheel options,software / interaction
1129,whole package,climate / temperature control
1130,gesture controls,gesture / motion controls
1131,roof down,roof
1132,front practicality,Comfort & Ergonomics
1133,stance,design
1135,feedback,climate / temperature control
1136,exhaust sound,exhaust
1137,upgraded command system screen,displays / instrumentation
1138,door trim,interior materials & trim / finish
1139,interface operation,climate / temperature control
1140,gear selection,transmission
1141,speaker,audio
1144,noises,audio
1145,putting gear,model / generic car terms
1147,cutout design,design
1149,starting price,road terrain
1150,steering feel,steering
1151,prestige trim level,interior materials & trim / finish
1152,x drive system,drive
1153,backseats,climate / temperature control
1154,wood ledge,lighting
1155,blowers,climate / temperature control
1156,boot shape,boot/cargo
1157,automatic mode,Driving Dynamics / Handling
1158,stop start system,brake
1162,roof,roof
1163,well being spoiled recreation thing,fuel / energy / charging
1164,sport pack,climate / temperature control
1165,corner acceleration,climate / temperature control
