aspect,base_category
digital dollars,Value / Cost
legroom,passenger space - legroom
sport steering,steering
front seat set,seats
window ledge,lighting
virtual cockpit ,Displays / Instrumentation
door mirror controller,Doors
back window,Windows / Glass
operating window,Windows / Glass
USB charging ports,Connectivity / Integration
door bin,Storage & Utility
power trade,engine/ power train
gear selector,transmission
option packages,Software / Interaction
brake temperature,brake
eight speed automatic transmission,transmission
load space,boot_cargo
flipping down the second row seats,seats
corner in wet weather,Road Terrain
surround view parking,Parking
oversteer,steering
charging the battery,Fuel / Energy / Charging
storage jets,boot_cargo
tray storage,boot_cargo
laser lights,lighting
tech features,Software / Interaction
fitting a child seat,seats
navigation system,Navigation / Mapping
seat release,seats
carbon fibre trim,Wheels & Tyres
visibility,Visibility & View
Momentum99 fuel,Fuel / Energy / Charging
menus,Software / Interaction
A7 practicalty,Storage & Utility
backseat for people over 6 4,seats
cornering,Cornering / Grip
back digital climate control,Climate / Temperature Control
engine start stop system,engine/ power train
electrically operated steering column,steering
rear executive seat package,seats
moonroof,roof
turn in,Cornering / Grip
Trim,Wheels & Tyres
steering system,steering
backseat,seats
Wifi connectivity,Connectivity / Integration
gear selector knob,transmission
servicing,Value / Cost
sport suspension,Suspension
parking center switch,Parking
boot lip,boot_cargo
head unit,Displays / Instrumentation
integrated laser lights,lighting
new technology,Software / Interaction
extra bits of trim,Wheels & Tyres
center arm,seats
residual value,Value / Cost
automatic gear selector,transmission
rear seat legroom,seats
dynamic steering,steering
cargo space,boot_cargo
back seating,seats
protection,Safety
rear space,passenger space - rear space
panoramic glass freeze,roof
wood trim effect,Wheels & Tyres
detail lights,lighting
security,Safety
auto driving,Driver_Assistance
engine versions,engine/ power train
phone cradle,Connectivity / Integration
no underfloor storage,boot_cargo
driver seat heat dissipation,seats
rollover,Safety
dynamic damper control,Suspension
rpm band,engine/ power train
360 degree camera system,Cameras
nine speed automatic transmission,transmission
automatic acceleration,Acceleration
lighting,lighting
base price,Road Terrain
sound level,audio
crystal knob,Physical Controls
rough road,Road Terrain
satellite system,Navigation / Mapping
material on the glove box,Storage & Utility
middle seat footroom,seats
rear passenger space,seats
bumper sticks,Road Terrain
folds in back seat,seats
corner grip,Cornering / Grip
acceleration in efficiency mode,Fuel / Energy / Charging
LEDs,lighting
flat upshift,transmission
parallel parking,Parking
switches and dials,Software / Interaction
rear bumper,Road Terrain
electronically controlled dampers,lighting
sand dunes,Road Terrain
steering reflexes,steering
charging,Fuel / Energy / Charging
foot brake,brake
gear change sound,transmission
front discs,brake
practicalities,Storage & Utility
front seat,seats
electric steering,steering
at speed,Acceleration
seating position,seats
average speed,Acceleration
video chip,Displays / Instrumentation
A4 dual clutch,transmission
power band,engine/ power train
cushion,seats
windows,Windows / Glass
steering,steering
types of suspension,Suspension
main screen,Displays / Instrumentation
booth,boot_cargo
rough surface,Road Terrain
central armrest,seats
semi autonomous driving system,Driver_Assistance
back pillars,Visibility & View
door down head,Doors
running cost,Value / Cost
transmission,transmission
choice,Road Terrain
Virtual Cockpit,Displays / Instrumentation
entertainment screen passenger view,Displays / Instrumentation
four zone climate control,Climate / Temperature Control
rear parking sensors,Parking
Acceleration,Acceleration
steering control,steering
rough roads,Road Terrain
get in the back,Doors
get in and out -front,Doors
third row seat,seats
touch,Gesture / Motion Controls
air suspension,Suspension
headroom,passenger space - headroom
arm,seats
wheel arch,Wheels & Tyres
S tronic gearbox,transmission
door close,Doors
rear parking,Parking
virtual cockpit,Displays / Instrumentation
software,Software / Interaction
screens,Displays / Instrumentation
gesture commands,Gesture / Motion Controls
optional surrounding cameras,Cameras
goes over bumps,Road Terrain
Gearbox,transmission
front wheels,Wheels & Tyres
speed up,Acceleration
engine brace,engine/ power train
second row seat,seats
screen clarity,Displays / Instrumentation
middle headroom,passenger space - middle headroom
gearbox auto mode,transmission
seat belt,seats
premium plus package price,Road Terrain
blind spot,Safety
front seat control,seats
acoustic windscreen,Displays / Instrumentation
light cover,lighting
rear armrest,seats
electric lumbar support,seats
tech,Software / Interaction
back seat control,seats
seatback release,seats
fuel economy,Fuel / Energy / Charging
wet road,Road Terrain
turbo petrol engine,engine/ power train
door handle inserts,Doors
door ,Doors
ashtray,Storage & Utility
rain sensing windshield wiper,Windscreen / Wipers
button to open the boot,boot_cargo
lifespan,Value / Cost
window lead,Windows / Glass
digital display,Displays / Instrumentation
glovebox,Storage & Utility
offset pedals,brake
third row space,passenger space - third row space
entry level diesel engine,engine/ power train
cargo volume,boot_cargo
back windows,Windows / Glass
cargo hold,boot_cargo
load lifter,boot_cargo
damp,Suspension
Virual Cockpit,Displays / Instrumentation
pedals and springs,brake
rapid charging,Fuel / Energy / Charging
voice recognition system,Voice & Commands
noise suppression,audio
child seats,seats
output figures,engine/ power train
downhill,Road Terrain
zero petrol use,Fuel / Energy / Charging
thirdrow seats,seats
rear window shades,Windows / Glass
exhaust crackle,audio
charging sockets,Fuel / Energy / Charging
pure electric range,Fuel / Energy / Charging
battery management system,Fuel / Energy / Charging
arm rest,seats
air suspension comfy setting,Suspension
power seats,engine/ power train
wooden wheel arches,Wheels & Tyres
dry road,Road Terrain
mix and match settings,Software / Interaction
cell phone spot,Connectivity / Integration
Magic Sky roof,roof
satellite navigation system,Navigation / Mapping
practicality,Storage & Utility
wheels,Wheels & Tyres
cruising around,Driver_Assistance
air scarf,Climate / Temperature Control
digital dash,Displays / Instrumentation
charging points,Fuel / Energy / Charging
rear windows,Windows / Glass
power release,engine/ power train
BMW backseat,seats
two litre engine,engine/ power train
saloon S5 headroom,passenger space - saloon S5 headroom
seat ,seats
car engineering,engine/ power train
manual mode transmission,transmission
gear stuff,transmission
shock absorbers,brake
load,boot_cargo
carbon ceramic discs,brake
technology pack,Software / Interaction
stereo,audio
second row legroom,passenger space - second row legroom
reversing camera,Cameras
rear headroom,passenger space - rear headroom
dual clutch,transmission
corner handle,Cornering / Grip
Headroom backseat,seats
alloys,Wheels & Tyres
cold weather,Road Terrain
door,Doors
exhaust noise (dynamic mode),audio
roof up and down,roof
sharp bumps,Road Terrain
views,Visibility & View
torque vectoring,engine/ power train
glovebox size,Storage & Utility
back door bins,Storage & Utility
safety technology,Safety
climate control location,Climate / Temperature Control
steering (sports mode),steering
Parcel Shelf,boot_cargo
outside wheels,Wheels & Tyres
extend front part seat,seats
speed limiter,Acceleration
storage cover,boot_cargo
storage by steering,steering
quadrille wheel drive,Wheels & Tyres
0 to 60 acceleration,Acceleration
load height,boot_cargo
passenger space,passenger space - passenger space
GT three wet road,Road Terrain
roofline,roof
steering response,steering
usability,Storage & Utility
shortcut buttons,Physical Controls
media centre,Displays / Instrumentation
warranty,Value / Cost
powertrain,engine/ power train
rear pillars,Visibility & View
roof spoiler,roof
auto emergency braking,brake
gearbox mannual mode,transmission
profiles,Software / Interaction
rear view,Visibility & View
wing mirrors,Mirrors
head restraints,seats
central seat,seats
cargo area,boot_cargo
throttle response,Acceleration
newest s class price,Road Terrain
petrol engine,engine/ power train
mapping,Navigation / Mapping
normal screen,Displays / Instrumentation
augmented reality satellite navigation system,Navigation / Mapping
springs,Suspension
two litre diesel engine,engine/ power train
value for money,Value / Cost
accelerating in comfort mode,Acceleration
grips in the corners,Cornering / Grip
base engine,engine/ power train
Stronic transmission,transmission
battery pack,Fuel / Energy / Charging
soundproofing,audio
dynamic cruise control,Driver_Assistance
air events,Climate / Temperature Control
torque redirection,engine/ power train
steering guidance,steering
reading lights,lighting
mid corner,Cornering / Grip
s three price,Road Terrain
50 D engine,engine/ power train
voice recognition,Road Terrain
petrol consumption,engine/ power train
under floor storage,boot_cargo
tyres,Wheels & Tyres
back get in,Doors
automatic engine shutoff,engine/ power train
parkability,Parking
horsepower,engine/ power train
trunk capacity,boot_cargo
trim without extra bits,Wheels & Tyres
widescreen setting,Displays / Instrumentation
delivery,Value / Cost
windscreen signature,Displays / Instrumentation
upgraded satellite system,Navigation / Mapping
automatic engines start stop system,engine/ power train
gear change,transmission
door plastics,Doors
storage nooks,boot_cargo
back headroom,passenger space - back headroom
high speeds,Acceleration
steers,steering
adult occupant protection in the crash test .,Safety
stop,brake
upgraded screen,Displays / Instrumentation
satnav system,Navigation / Mapping
accelerating,Acceleration
steering wheel,steering
mud,Road Terrain
front doors,Doors
winding mountain roads,Road Terrain
steering wheel controls,steering
side pillars,Visibility & View
seat buttons,seats
false floor storage,boot_cargo
rear view mirror,Visibility & View
dynamic mode air suspension,Suspension
engine range,engine/ power train
slope,Road Terrain
climate controls,Climate / Temperature Control
piloted drive system,Driver_Assistance
climate control buttons,Physical Controls
widescreen ,Displays / Instrumentation
3 50 d price,Road Terrain
sub menus,Software / Interaction
tight spaces,passenger space - tight spaces
reliability,Value / Cost
remote gesture control,Gesture / Motion Controls
screen,Displays / Instrumentation
tire noise,Wheels & Tyres
auto-breaking,brake
gearboxes,transmission
headrest,seats
front brakes,brake
front seating,seats
steerring wheel,steering
S5 sport back torque,engine/ power train
bumpy road,Road Terrain
door mirrors,Doors
uphill drive,Road Terrain
sport mode suspension,Suspension
spokes,Wheels & Tyres
center screen,Displays / Instrumentation
engine auto cut off,engine/ power train
bumpers,Road Terrain
rear lights,lighting
cruising ability,Driver_Assistance
speaker sound system,audio
wheelbase,Wheels & Tyres
accelerations,Acceleration
roof line,roof
laser beam headlights,lighting
emergency assist,Safety
engine choices,engine/ power train
pulling power,engine/ power train
GT three dry road,Road Terrain
low speed manoeuvres,Acceleration
headlights,lighting
glass elements,Windows / Glass
engine noise,engine/ power train
window surround,Windows / Glass
trunk size,boot_cargo
digital drivers display,Displays / Instrumentation
false floor,boot_cargo
piano black trim,Wheels & Tyres
trunks,boot_cargo
new engine,engine/ power train
safety features,Safety
laser headlights,lighting
ceramic brakes,brake
unload,boot_cargo
front suspension,Suspension
spaces,passenger space - spaces
seating tunnel,seats
fuel efficient,Fuel / Energy / Charging
steering at speed,steering
1.5 L engine,engine/ power train
moon roof shade,roof
Quattro system petrol,Fuel / Energy / Charging
storage tray,boot_cargo
tail lights,lighting
child seat base,seats
front engine,engine/ power train
engine automatic switch off,engine/ power train
seat up,seats
A5 seats,seats
backpacks,boot_cargo
wheel designs,Wheels & Tyres
headroom (people over six foot),passenger space - headroom (people over six foot)
set buttons,Physical Controls
get in back,Doors
boot spoiler,boot_cargo
steer,steering
quattro software,Software / Interaction
engineered,engine/ power train
junctions in efficiency mode,Fuel / Energy / Charging
release button for center console,Physical Controls
soft pillow,seats
tire pressure monitoring,Wheels & Tyres
engine output,engine/ power train
price tag,Road Terrain
glove box latch,Storage & Utility
compartmentalize stuff,Storage & Utility
automatic gear,transmission
high load floor,boot_cargo
braking,brake
iceberg covers,Road Terrain
lower speed,Acceleration
seat shape,seats
view changes,Visibility & View
diesel engines,engine/ power train
cruise control,Driver_Assistance
selector,Physical Controls
seats,seats
throttle (sport),Acceleration
boot space,boot_cargo
metal roof,roof
bump,Road Terrain
1.6 litre petrol engine,engine/ power train
cabriole price entry point,Road Terrain
seating,seats
air density,Climate / Temperature Control
windows down,Windows / Glass
acceleration noise,Acceleration
sporty suspension,Suspension
view forward,Visibility & View
wheel options,Software / Interaction
gesture controls,Gesture / Motion Controls
roof down,roof
front practicality,Storage & Utility
exhaust sound,audio
upgraded command system screen,Displays / Instrumentation
door trim,Wheels & Tyres
gear selection,transmission
speaker,audio
putting gear,transmission
starting price,Road Terrain
steering feel,steering
prestige trim level,Wheels & Tyres
backseats,seats
wood ledge,lighting
boot shape,boot_cargo
stop start system,brake
roof,roof
well being spoiled recreation thing,lighting
corner acceleration,Acceleration
twin turbo petrol,engine/ power train
spoiler button,Physical Controls
price point,Road Terrain
technology pack cost,Software / Interaction
material selection,Physical Controls
amber lighting,lighting
phone Cradle,Connectivity / Integration
right hand drive steering,steering
braking field,brake
engine note,engine/ power train
rough terrain,Road Terrain
digital gauge cluster,Displays / Instrumentation
nap screen,Displays / Instrumentation
rev limit,engine/ power train
digital climate control,Climate / Temperature Control
sun roof,roof
performance Power,engine/ power train
MMI interface,Displays / Instrumentation
soft touch plastics,Gesture / Motion Controls
diesel engine,engine/ power train
seven speed gear box,transmission
engineering,engine/ power train
Apple Carplay price,Connectivity / Integration
front wheel drive version,Wheels & Tyres
foot down (acceleration),Acceleration
steering wheel mounted controls,steering
charging panel,Fuel / Energy / Charging
compartment,Storage & Utility
panoramic sunroof,roof
rear doors,Doors
right hand drive steering wheel,steering
gated shifter,transmission
digital gauge,Displays / Instrumentation
manual gearbox,transmission
twin turbo petrol torque,engine/ power train
petrol tank,Fuel / Energy / Charging
2.1 litre diesel engine,engine/ power train
map lights,lighting
parking assist,Parking
E brake,brake
glove box space,passenger space - glove box space
interior color choices,Road Terrain
purchase,Value / Cost
get snow off the car,Road Terrain
seating flexibility,seats
tire change pot,Wheels & Tyres
v8 engine,engine/ power train
power train,engine/ power train
loading heavy cargo,boot_cargo
Apple carplay,Connectivity / Integration
damper suspension,Suspension
corner handlig,Cornering / Grip
A4  G5 steering,steering
navigating menus,Software / Interaction
C pillar,Visibility & View
petrol charging,Fuel / Energy / Charging
door design,Doors
boot floor,boot_cargo
Vita Engine,engine/ power train
interior light pattern,lighting
suspension spring,Suspension
indicator lights,lighting
auto gearbox,transmission
wheel arches,Wheels & Tyres
suspension settings,Software / Interaction
button placement,Physical Controls
car racing technology increments,Software / Interaction
speeding,Acceleration
stereo volume control,audio
foot down,Acceleration
back space,passenger space - back space
transmission tunnel,transmission
climate control,Climate / Temperature Control
seat pulling back,seats
money,Value / Cost
BMW I A8 price,Road Terrain
diesel,Fuel / Energy / Charging
footspace,passenger space - footspace
servicing plan,Value / Cost
parking,Parking
normal suspension,Suspension
digital space,passenger space - digital space
massage,seats
extendable seat base,seats
parcel shelf,boot_cargo
seat adjustment,seats
USB on 12V socket,Connectivity / Integration
sightlines,Visibility & View
find the right gear,transmission
launch control process,Acceleration
powerful,engine/ power train
sport suspension mode,Suspension
third row leg room,passenger space - third row leg room
tech display,Software / Interaction
safety kit,Safety
life in tires,Wheels & Tyres
boot useful features,boot_cargo
ledge,lighting
corner dynamic mode,Cornering / Grip
parking system,Parking
rear window,Windows / Glass
back view,Visibility & View
gearbox response,transmission
tray,Storage & Utility
power allocation,engine/ power train
normal driving speed,Acceleration
trim (inside),Wheels & Tyres
GT price,Road Terrain
revs,engine/ power train
tire looks,Wheels & Tyres
backseat legroom,seats
sunroof,roof
speed dialog system,Acceleration
boot overall capacity,boot_cargo
portal Pini K gearbox,transmission
cushioning,seats
fuel filler,Fuel / Energy / Charging
get out,Doors
climate control dials,Climate / Temperature Control
sports suspension,Suspension
dials and buttons,Physical Controls
sport mode steering,steering
spend extra on adaptive suspension,Suspension
Dr Selector,Physical Controls
rear suspension,Suspension
satnav screen,Displays / Instrumentation
seatbelt straps,seats
Tire holding,Wheels & Tyres
climate controls action,Climate / Temperature Control
car settings,Software / Interaction
manual mode drive,transmission
left hand drive steering wheel,steering
sloping roof,roof
boot lid,boot_cargo
side mirrors,Mirrors
8 Siris,Voice & Commands
rear seating,seats
steering wheel button,steering
central arm rest,seats
standard screen,Displays / Instrumentation
led lighting,lighting
adaptive steering,steering
downhill speed regulation,Acceleration
Eco Pro mode,Fuel / Energy / Charging
voice grins,Road Terrain
get in and out,Doors
ambient lighting package,lighting
upward visibility,Visibility & View
graphics chip,Displays / Instrumentation
durability,Value / Cost
boot door,boot_cargo
netting,Storage & Utility
BMW remote control parking,Parking
door locks,Doors
back comfort,passenger space - back comfort
navigation control,Navigation / Mapping
apple carplay,Connectivity / Integration
storage underneath,boot_cargo
main entertatinment screen,Displays / Instrumentation
steering adjustment,steering
sports mode gearbox,transmission
volume control,audio
satellite navigation,Navigation / Mapping
glove box size,Storage & Utility
passenger seat,seats
standard entertainment screen,Displays / Instrumentation
steering rod,steering
acceleration from stop,brake
power recovery,engine/ power train
seat,seats
buttons,Physical Controls
speed transmission shifts,transmission
practical,Storage & Utility
speed on,Acceleration
window,Windows / Glass
overall seating position,seats
E400 twin Turbo V six power,engine/ power train
optional led 19 system,lighting
BMW technology,Software / Interaction
storage(front passenger seat),boot_cargo
air intakes,Climate / Temperature Control
turbo power,engine/ power train
gear shift,transmission
engine mounts,engine/ power train
power buildup,engine/ power train
corner,Cornering / Grip
steering (sports),steering
electric car,Fuel / Energy / Charging
Android auto,Connectivity / Integration
storage bits,boot_cargo
three litre diesel engine,engine/ power train
manoeuvring speeds,Acceleration
load lift,boot_cargo
0 to 60,Acceleration
four wheel drive traction,Wheels & Tyres
diesel with four turbos,Fuel / Energy / Charging
cushions,seats
Bowers and Wilkins Diamond Surround sound system,audio
blind spots,Safety
potholes,Road Terrain
parking assistant plus,Parking
bumps,Road Terrain
infotaintment system knob,Physical Controls
brakes,brake
steering (dynamic mode),steering
Apple Carplay,Connectivity / Integration
storage pack,boot_cargo
memory settings,Software / Interaction
outward visibility,Visibility & View
upgraded command system definition,Software / Interaction
reclining,seats
220 C D engine,engine/ power train
back door,Doors
sifting through menus,Software / Interaction
autonomous driving,Driver_Assistance
parking brake,brake
corner handling,Cornering / Grip
downshift,transmission
front space,passenger space - front space
pillars,Visibility & View
backseat functions,seats
autonomous driving system,Driver_Assistance
steering controls,steering
stitched button,Physical Controls
under storage,boot_cargo
positioning of steering wheel,steering
four cylinder engine,engine/ power train
shopping basket,boot_cargo
WiFi speed,Connectivity / Integration
automatic gearbox,transmission
engine response,engine/ power train
center seats,seats
ownership proposition,Value / Cost
hybrid system,engine/ power train
back seat elongated bracket,seats
Magic Sky feature,roof
rear seat combination,seats
engine turn off,engine/ power train
graphics screen,Displays / Instrumentation
seat folding,seats
child seat,seats
signature on every windscreen,Displays / Instrumentation
deductive suspension,Suspension
talking price,Road Terrain
switches,Software / Interaction
hard corners,Cornering / Grip
iPad stall screen,Displays / Instrumentation
top speed,Acceleration
trim pieces,Wheels & Tyres
bumps dynamic mode,Road Terrain
battery,Fuel / Energy / Charging
economics,Value / Cost
Porsche gearbox,transmission
front door,Doors
speakers,audio
suspension tuning,Suspension
lighting colors,lighting
back trim,Wheels & Tyres
automatic transmission,transmission
button,Physical Controls
launch control,Acceleration
S line suspension,Suspension
extended cargo area,boot_cargo
rear seat control,seats
BMW launch control,Acceleration
electricity usage,Fuel / Energy / Charging
laser light headlights,lighting
back legroom,passenger space - back legroom
voice commands,Voice & Commands
carbon fibre engine cover,engine/ power train
fuel tank,Fuel / Energy / Charging
rear visibility,Visibility & View
emergency service,Road Terrain
sport seats,seats
door bins,Storage & Utility
back seat space,seats
rear trunk,boot_cargo
ride quality,Suspension
old V8 engine,engine/ power train
deceleration,brake
bigger bumps,Road Terrain
softer suspension,Suspension
storage cubbies,boot_cargo
rear headrooms,passenger space - rear headrooms
stopping power,engine/ power train
cost steering ,steering
corner braking,brake
review mirror,Mirrors
launch control system,Acceleration
power surge,engine/ power train
Google Earth,Navigation / Mapping
underfloor storage area,boot_cargo
backseat head room,seats
metallic speakers,audio
discount,brake
ventilated seat option,seats
0 to 60 run,Acceleration
trim (outside),Wheels & Tyres
bolsters on steering,steering
speed shift transmission,transmission
smaller bumps,Road Terrain
camera system,Cameras
surround view cameras,Cameras
rear seat headroom,seats
rear row seat,seats
window surrounds,Windows / Glass
luxury seating package,seats
comfort suspension,Suspension
rear passenger door bins,Storage & Utility
audio inputs,audio
glove box,Storage & Utility
engine stop start feature,engine/ power train
driver assisstance technology,Software / Interaction
front door bins,Storage & Utility
bench,seats
cabins,Storage & Utility
sound insulation,audio
engine ,engine/ power train
touch pad swivel world system,Software / Interaction
Headlights,lighting
control interface,Software / Interaction
green screen,Displays / Instrumentation
petrol usage,engine/ power train
gearshift,transmission
load area,boot_cargo
back seats down,seats
X3 suspension,Suspension
seats dropping,seats
air conditioning,Climate / Temperature Control
door open,Doors
steering lock,steering
back knee room,passenger space - back knee room
parking guidance system,Driver_Assistance
tired,Wheels & Tyres
device,Road Terrain
20 inch wheel,Wheels & Tyres
gear shifter,transmission
trunk,boot_cargo
engine choice,engine/ power train
steering wheen adjustment,steering
rear engine,engine/ power train
corners,Cornering / Grip
Volvo XC60 power,engine/ power train
rear quarter lights,lighting
brake callipers,brake
tray tables,Storage & Utility
slabs,brake
mirror,Mirrors
corner lamps,Cornering / Grip
long term reliability,Value / Cost
voice activation system,Voice & Commands
steering comfort mode,steering
driving tech,Software / Interaction
seatbelt,seats
wipers,Windscreen / Wipers
aero bits price,Road Terrain
reversing assistant tech,Driver_Assistance
wide retired,Wheels & Tyres
windshield,Windscreen / Wipers
high speed motorways,Acceleration
1.40 S8 engine upgrade,engine/ power train
touch pad,Software / Interaction
rear wheels,Wheels & Tyres
headrooms,passenger space - headrooms
mirrors,Mirrors
leather seats,seats
stereo system,audio
engine notes,engine/ power train
drawer,Storage & Utility
tail lights design,lighting
digital display view change,Displays / Instrumentation
headlight,lighting
entry level petrol engine,engine/ power train
switch between screens,Displays / Instrumentation
brake,brake
snow and ice,Road Terrain
blind spot mornitoring,Safety
driver seat,seats
speed limit,Acceleration
trunk space,boot_cargo
rear door bins,Storage & Utility
glove boxes,Storage & Utility
wheel drive,Wheels & Tyres
USB,Connectivity / Integration
load floor,boot_cargo
technology price,Software / Interaction
plugin hybrids,engine/ power train
V8 engine,engine/ power train
few buttons,Physical Controls
windscreen wipers,Displays / Instrumentation
electric engine,engine/ power train
supportive gas struts,seats
cargo room,boot_cargo
 V8 engine,engine/ power train
sports plus suspension,Suspension
lighting animations,lighting
understeer,steering
tire rim,Wheels & Tyres
storage areas,boot_cargo
engines,engine/ power train
roof bars,roof
tether points,boot_cargo
cruising,Driver_Assistance
torque rating,engine/ power train
0 to 60 time,Acceleration
lighting functions,lighting
cubby space,passenger space - cubby space
windshield wipers,Windscreen / Wipers
tire,Wheels & Tyres
Quattro wheel drive,Wheels & Tyres
two axle air suspension,Suspension
GT three bumpy road,Road Terrain
concierge service,Road Terrain
garment satnav,seats
trim,Wheels & Tyres
wing mirror,Mirrors
normal wheel base version,Wheels & Tyres
two litre diesel,Fuel / Energy / Charging
front seat backs,seats
brake field,brake
reversing camera definition,Cameras
tronic gearbox,transmission
third row seats,seats
entertainment screen,Displays / Instrumentation
window down,Windows / Glass
fold seats down,seats
engine pulling power,engine/ power train
safety,Safety
steering wheel adjustment,steering
sharp turn,Cornering / Grip
headspace,passenger space - headspace
rear seat roadster,seats
roof panel,roof
ride suspension,Suspension
doors,Doors
wheel turn,Wheels & Tyres
speed,Acceleration
boot liner,boot_cargo
sun visors,Windscreen / Wipers
automatic braking,brake
steering sport,steering
corner comfort mode,Cornering / Grip
door handles,Doors
space,passenger space - space
diesel version,Fuel / Energy / Charging
gearbox,transmission
downshifts,transmission
hooks,boot_cargo
price point feature,Road Terrain
back seat,seats
gestures,Gesture / Motion Controls
glass elements on gear selector,transmission
digital key,Connectivity / Integration
middle seat legroom,seats
speeds,Acceleration
rev counter,engine/ power train
pedals,brake
V8 engine drive,engine/ power train
climate control knobs,Physical Controls
center armrest,seats
Visibility,Visibility & View
upgraded all round air suspension,Suspension
front headlights,lighting
wheel arch intrusion,Wheels & Tyres
engine start button,engine/ power train
doors open,Doors
upgraded professional satnav,Navigation / Mapping
utility,Storage & Utility
fourth gear,transmission
GT three operating window,Windows / Glass
construction technique,Software / Interaction
technologies,Software / Interaction
window switches,Software / Interaction
Driver assistant Pack,Driver_Assistance
car tire pot,Wheels & Tyres
seat belts,seats
touring headroom,passenger space - touring headroom
armrest,seats
BMW 360 degree surround camera,Cameras
front wheel,Wheels & Tyres
all wheel drive,Wheels & Tyres
absolutely acres of,brake
load cover,boot_cargo
lumbar support,seats
steering mode,steering
cubby,Storage & Utility
snow storm,Road Terrain
adaptive M6 port suspension comfort model,Suspension
underfloor storage,boot_cargo
new battery pack,Fuel / Energy / Charging
summer tires,Wheels & Tyres
front seats sound,seats
petrol engine running,engine/ power train
electric adjustment (steering),steering
dynamic gearbox shift,transmission
remote features,Driver_Assistance
Tyrell,Wheels & Tyres
car seat,seats
led lights,lighting
engine,engine/ power train
windshield  intensity,Windscreen / Wipers
drive train technology,Software / Interaction
back side headspace,passenger space - back side headspace
premium plus trim level,Wheels & Tyres
power folding,engine/ power train
knee rooms,passenger space - knee rooms
Footroom,passenger space - Footroom
cup holder,Storage & Utility
underfloor compartment,Storage & Utility
brake discs,brake
hybrid technology,Software / Interaction
fold down seats,seats
boot size,boot_cargo
steering buttons,steering
hybrid engine,engine/ power train
front brakes discs,brake
small bump,Road Terrain
door tops,Doors
Stop Start system,brake
boot features,boot_cargo
suspension(sport),Suspension
only apple carplay,Connectivity / Integration
seatbelt adjustment,seats
iPod connector to stereo,audio
shifting,transmission
interior trim,Wheels & Tyres
A7 price,Road Terrain
feel behind the steering,steering
wireless charging,Connectivity / Integration
knee airbag,Safety
petrol models,Fuel / Energy / Charging
loading things,boot_cargo
middle section,passenger space - middle section
competion choices,Road Terrain
center arm rest,seats
full multi beam led headlights,lighting
storage drawer,boot_cargo
purple ambient lighting,lighting
rear view camera,Visibility & View
drive settings,Software / Interaction
four wheel drive system,Wheels & Tyres
Rev Counter,engine/ power train
300D power,engine/ power train
surround view camera system,Cameras
seat sliding forward,seats
gearshift modifications,transmission
wheel design,Wheels & Tyres
audi virtual cockpit,Displays / Instrumentation
