,aspect,base_category
98,storage underneath,storage & utility
99,content,Technology
100,performance figures,performance
101,cabriole price entry point,body type
102,looks,Design
103,bmw 3 40 i  engine,engine / power train
104,s4,model / generic car terms
105,rear following front,Driving Dynamics / Handling
106,behaving,Driving Dynamics / Handling
107,aero bits price,aerodynamics / airflow
108,prices,road terrain
109,structural rigidity,chassis / structural
110,sophistication,Emotional & Sensory Experience
111,boot underfloor area,boot/cargo
112,front face,climate / temperature control
113,shift operation,transmission
114,materials,interior materials & trim / finish
115,storage bits,storage & utility
116,beam span,Lighting / Indicators
117,car feels,Emotional & Sensory Experience
118,electric motor,engine/ power train
119,rear headroom,Passenger Space
120,air bags,safety
121,panoramic glass freeze,roof
122,off switch,physical controls
123,head room,Passenger Space
124,exhaust,exhaust
125,frame,build quality / construction
126,launch control process,acceleration
127,wind whistles,audio
128,air breather,aerodynamics / airflow
129,carrying stuff,boot/cargo
130,sand dunes,road terrain
131,surround cameras,cameras
132,display unit,displays / instrumentation
133,new battery pack,model / generic car terms
134,rear seatbacks,Seats
135,navigation system,navigation / mapping
136,c e400,model / generic car terms
137,bmw i three,model / generic car terms
138,blind spot,safety
139,ferry three,passenger space
140,surround view parking,visibility & view
141,everything,Functionality & Features
142,support adjustments,Comfort & Ergonomics
143,right on the road,road terrain
144,long distances,Design
145,tyres,wheels & tyres
146,over six foot people,passenger space
147,ability,performance
148,volvo xc60 room,Passenger Space
149,woods,road terrain
150,a7 practicality,Comfort & Ergonomics
151,backpacks,Storage & Utility
152,upholstery,interior materials & trim / finish
153,x6,model / generic car terms
154,driving position,drive
155,back headroom,Passenger Space
156,grill,grill
157,towbar,storage & utility
158,value for money,value / cost
159,horns,audio
160,orange peel,exterior materials & finish
161,elements,design
162,whole package,climate / temperature control
163,2.1 litre turbo diesel four cylinder,engine/ power train
164,satellite system,navigation / mapping
165,out,Body Class
166,exterior,exterior materials & finish
167,carrying five once,passenger space
168,normal driving speed,drive
169,few things,Generic Description & Miscellaneous
170,six speed manual,transmission
171,0 to 60 spread,acceleration
172,glove boxes,boot/cargo
173,does everything,Functionality & Features
174,load cover,boot/cargo
175,driving,drive
176,rear window shades,aerodynamics / airflow
177,edges,body class
178,highway efficiency,road terrain
179,outside dimensions,body class
180,storage space,Passenger Space
181,striping,design
182,back get in,Doors
183,badges,Design
184,audi r8,model / generic car terms
185,a4 driving position,model / generic car terms
186,1.5 l engine,engine / power train
187,back seats down,Seats
188,vocal,Voice & Commands
189,gt -r,model / generic car terms
190,estate cars,body type
191,gauge setup,displays / instrumentation
192,coasting,driving dynamics / handling
193,amg a4 g5,model / generic car terms
194,start,engine / power train
195,boot height,boot/cargo
196,signature on every windscreen,windscreen / wipers
197,latest version,packages / trims / variants
198,power band,engine/ power train
199,downhill,road terrain
200,haunches,body class
201,rear window,aerodynamics / airflow
202,sensations,Emotional & Sensory Experience
203,smaller people,passenger space
204,turbulence,aerodynamics / airflow
205,comfort level,Comfort & Ergonomics
206,learn to drive,drive
207,external panel,Exterior Materials & Finish
208,four people,passenger space
209,mirrors,mirrors
210,stop,brake
211,protection,safety
212,vent,aerodynamics / airflow
213,sailing mode,Driving Dynamics / Handling
214,current design,Design
215,interface operation,climate / temperature control
216,money,value / cost
217,first generation drive,model / generic car terms
218,storage jets,storage & utility
219,electric car,fuel / energy / charging
220,backrest,Seats
221,s5 sport back launch,acceleration
222,light,lighting
223,off roader,road terrain
224,material selection,physical controls
225,long term reliability,value / cost
226,a8 reversing,model / generic car terms
227,tech features,Functionality & Features
228,stop start system,brake
229,front armrest,seats
230,engine start button,engine / power train
231,pricewise,road terrain
232,contrast,Design
233,digital dash,displays / instrumentation
234,driver satisfaction,drive
235,offroad sound,audio
236,get in the back,Doors
237,dash angles,displays / instrumentation
238,manual sport mode,transmission
239,front bottom,front section
240,back,Rear Section
241,weirdness,Emotional & Sensory Experience
242,shocks,Driving Dynamics / Handling
243,fuel consumption,fuel / energy / charging
244,swiping zoom manoeuvres,gesture / motion controls
245,s line indicators,displays / instrumentation
246,emergency services button,model / generic car terms
247,specifications,options & specifications
248,most laid back position,Comfort & Ergonomics
249,handles,Doors
250,tops,roof
251,tail lamps,lighting
252,car tire pot,wheels & tyres
253,sedan,body type
254,mercedes c 63 or a bmw m3,model / generic car terms
255,automatic gear,transmission
256,scuff plates,Exterior Materials & Finish
257,door design,Design
258,road,road terrain
259,profiles,Design
260,rear wheel drive,drive
261,air breathers,aerodynamics / airflow
262,left hand drive steering wheel,steering
263,stereo volume control,audio
264,offroad travel,road terrain
265,canyon,road terrain
266,potholes,road terrain
267,dynamics,Driving Dynamics / Handling
268,wheel arches,Exterior Materials & Finish
269,rs5,model / generic car terms
270,steering column,steering
271,gt three wet road,model / generic car terms
272,efficiency,Distance / Efficiency / Mileage
273,back roofline,Roof
274,rear wheels,drive
275,roof rails,roof
276,look over shoulder,Design
277,expense,value / cost
278,storage pack,storage & utility
279,turbos,engine/ power train
280,carbon trim price,Design
281,gearboxes,transmission
282,crackles,climate / temperature control
283,electronic system,software / interaction
284,turns in,cornering
285,automatic gear selector,transmission
286,hatchback tailgate,Boot / Cargo
287,wheel look change,Design
288,dynamic gearbox shift,transmission
289,obstacles,climate / temperature control
290,quattro system petrol,model / generic car terms
291,rs5 color,Design
292,spaces,Passenger Space
293,g l e 63,model / generic car terms
294,seatbelt butler,seats
295,black box on white red,climate / temperature control
296,storage areas,storage & utility
297,under floor support,Chassis / Structural
298,front apron port,front section
299,torque uplift,engine/ power train
300,back view,Visibility & View
301,dynamic downshift,transmission
302,motorways,engine/ power train
303,a4 ultra,model / generic car terms
304,cooling ducts,aerodynamics / airflow
305,big bulky child safe,safety
306,tail light color,Design
307,backend,Rear Section
308,audi g5,model / generic car terms
309,structural integrity,build quality / construction
310,seat adjustment,Seats
311,wood veneer,interior materials & trim / finish
312,steering wheel in parking,steering
313,speed on,acceleration
314,cruiser,driver assistance
315,street limit,road terrain
316,interior quality,interior
317,air bladders,aerodynamics / airflow
318,360 degree camera system,cameras
319,offset pedals,brake
320,open the bonnet,bonnet
321,voice control system,voice & commands
322,integrated laser lights,lighting
323,rear peasant blocker,visibility & view
324,attitude,model / generic car terms
325,high speed motorways,engine/ power train
326,command,voice & commands
327,race,climate / temperature control
328,front passenger seat,seats
329,level,Dimensions & Measurements
330,tire looks,Design
331,comfort mode ride,Comfort & Ergonomics
332,water porting,Fuel / Energy / Charging
333,cushion,seats
334,audi q5,model / generic car terms
335,central locking,keys & lock
336,m 7 60,model / generic car terms
337,cruising ability,driver assistance
338,petrol tank,fuel / energy / charging
339,pillows,seats
340,central locking sound,audio
341,premium plus trim level,Design
342,new audi rs three,model / generic car terms
343,lift,Boot / Cargo
344,fake sound,audio
345,side vents,aerodynamics / airflow
346,six cylinder car,engine/ power train
347,cargo area,boot/cargo
348,roofline,roof
349,s5 sport back torque,Engine / Power Train
350,touch,gesture / motion controls
351,damper suspension,suspension
352,f40 i x dr,model / generic car terms
353,cruising around,driver assistance
354,interface,climate / temperature control
355,upgraded sound system,audio
356,pedal field,brake
357,standing quarter,acceleration
358,value,value / cost
359,0 to 60,acceleration
360,volume knob,physical controls
361,rear passenger door bins,passenger space
362,nameplate,model / generic car terms
363,audio system,model / generic car terms
364,steering control,steering
365,efficiency system,Distance / Efficiency / Mileage
366,front track,climate / temperature control
367,launch,acceleration
368,i drive system,drive
369,connection to front axle,driving dynamics / handling
370,six series gt,model / generic car terms
371,ceiling,roof
372,stance,Design
373,v8 engine,engine / power train
374,overhangs,aerodynamics / airflow
375,three people in the back,Passenger Space
376,controls,Physical Controls
377,rear view,visibility & view
378,fold seats down,seats
379,turn,cornering
380,uphill drive,drive
381,front area,front section
382,underfloor compartment,storage & utility
383,chassis,chassis / structural
384,back trim,Interior Materials & Trim / Finish
385,wood,interior materials & trim / finish
386,rocks,road terrain
387,back knee room,Passenger Space
388,gauge display,displays / instrumentation
389,speed transmission shifts,transmission
390,body kit,body class
391,main entertainment screen,displays / instrumentation
392,offroad mode,road terrain
393,sports plus,Driving Dynamics / Handling
394,manoeuvring speeds,steering
395,velocity,performance
396,steering system,steering
397,center seat,seats
398,kneeroom,Passenger Space
399,diesel version,fuel / energy / charging
400,coat hook,Storage & Utility
401,steel,exterior materials & finish
402,screen,displays / instrumentation
403,visibility,visibility & view
404,front end grip,cornering / grip
405,feels,Emotional & Sensory Experience
406,swivel wheel,wheels & tyres
407,visibility,visibility & view
408,hybrid system,fuel / energy / charging
409,mode,Driving Dynamics / Handling
410,digital space,Passenger Space
411,storage nooks,storage & utility
412,plenty of things,Generic Description & Miscellaneous
413,heat pump,climate / temperature control
414,paddle shifter,transmission
415,propulsion,engine/ power train
416,paddle shift gearbox,transmission
417,junctions in efficiency mode,fuel / energy / charging
418,key,keys & lock
419,a3 looks,Design
420,rs6 everyday performance,model / generic car terms
421,drive long way,drive
422,on track performance,climate / temperature control
423,below body structure,body class
424,car interaction,climate / temperature control
425,tv chair,displays / instrumentation
426,purple ambient lighting,lighting
427,virtual 360 degree cameras,cameras
428,experience,emotional & sensory experience
429,goodies,Functional Features
430,exteriors,exterior materials & finish
431,magic sky control,roof
432,adult occupant protection in the crash test .,safety
433,small,Dimensions & Measurements
434,speed,acceleration
435,top up,roof
436,hooks,Storage & Utility
437,control,Physical Controls
438,long haul,Distance / Efficiency / Mileage
439,stereo system,audio
440,buttons,model / generic car terms
441,brightness,lighting
442,serious offroad,road terrain
443,driving modes,drive
444,laser beam headlights,lighting
445,car start,model / generic car terms
446,cover storage,storage & utility
447,high speed,acceleration
448,fittings,model / generic car terms
449,carbon fibre trim,Design
450,q3,model / generic car terms
451,surfacing treatment,Design
452,false floor,boot/cargo
453,stitching,interior materials & trim / finish
454,spirit,Emotional & Sensory Experience
455,oil,fuel / energy / charging
456,graphic,displays / instrumentation
457,footspace,Passenger Space
458,take off,acceleration
459,lower section,boot/cargo
460,exhaust noise (dynamic mode),exhaust
461,long distance,Design
462,stability control,traction / stability
463,space in backseats,Passenger Space
464,m 135,model / generic car terms
465,over six foot,passenger space
466,beeping,audio
467,cruise,driver assistance
468,rs6,model / generic car terms
469,boot spoiler,fuel / energy / charging
470,ventilation controls,aerodynamics / airflow
471,playing music,audio
472,headlights,lighting
473,fixed covers,exterior materials & finish
474,moon roof shade,roof
475,engine notes,engine / power train
476,thirdrow seats,seats
477,door open,doors
478,cubby space,Passenger Space
479,third row space,Passenger Space
480,s line,packages / trims / variants
481,radio,audio
482,getting back,model / generic car terms
483,releases,model / generic car terms
484,manual transmission,transmission
485,lights,lighting
486,carrying rear passengers,passenger space
487,ingredients,Generic References & Miscellaneous
488,menus,software / interaction
489,reversing with assistant,driver assistance
490,electricity,fuel / energy / charging
491,front discs,brake
492,boot volume,boot/cargo
493,front seats sound,seats
494,concierge service,road terrain
495,brake callipers,aerodynamics / airflow
496,speeding,acceleration
497,crossover,body type
498,aura,Emotional & Sensory Experience
499,steering reflexes,steering
500,camera system,cameras
501,underline support,Chassis / Structural
502,zero petrol use,Fuel / Energy / Charging
503,going round,road terrain
504,surfaces,climate / temperature control
505,two litre diesel engine,engine / power train
506,surface,climate / temperature control
507,traffic updates,navigation / mapping
508,digital gauge,displays / instrumentation
509,leg room second row,Passenger Space
510,discount,brake
511,boot floor,boot/cargo
512,a8,model / generic car terms
513,driving sensation,drive
514,cabin layout,interior
515,front seating,seats
516,travelling,Distance / Efficiency / Mileage
517,temperature,climate / temperature control
518,anti friction turbo bearings,engine / power train
519,isolation,Comfort & Ergonomics
520,normal wheel base version,chassis / structural
521,windows,aerodynamics / airflow
522,model x,model / generic car terms
523,parkability,parking
524,standard entertainment screen,displays / instrumentation
525,energy,fuel / energy / charging
526,engine stop start feature,Functionality & Features
527,audio systems,model / generic car terms
528,electric adjustment (steering),Steering
529,head restraints,seats
530,sound level,audio
531,battery,model / generic car terms
532,graphics,displays / instrumentation
533,architecture platform,chassis / structural
534,four wheel drive system,drive
535,parking assistant plus,driver assistance
536,second row roof,roof
537,quattro engine,engine / power train
538,carsick people,model / generic car terms
539,rs5 looks,Design
540,seating tunnel,seats
541,audi a7,model / generic car terms
542,departure angle,Road Terrain
543,gestures,gesture / motion controls
544,rear wheel steering,steering
545,new engine,engine / power train
546,offroading,road terrain
547,going faster,acceleration
548,voice recognition,road terrain
549,marina leather,interior materials & trim / finish
550,dynamic mode,Driving Dynamics / Handling
551,standard engine power,engine / power train
552,bmw a8 plug in hybrid,fuel / energy / charging
553,audi presence,model / generic car terms
554,slabs,model / generic car terms
555,get in and out,doors
556,indicators,displays / instrumentation
557,boot overall capacity,climate / temperature control
558,find the right gear,transmission
559,throttle (sport),model / generic car terms
560,audi a one s line,model / generic car terms
561,surround view cameras,visibility & view
562,driving assistance package,Design
563,false floor storage,storage & utility
564,nintendo entertainment system,software / interaction
565,fuel efficient,fuel / energy / charging
566,rev counter,engine/ power train
567,usb,connectivity / integration
568,upgrades,options & specifications
569,every material,interior materials & trim / finish
570,3 50 d price,road terrain
571,gated shifter,transmission
572,air purification system with perfume,aerodynamics / airflow
573,reversing assistant,driver assistance
574,bluetooth,connectivity / integration
575,down the door bins,storage & utility
576,bowers and wilkins diamond surround sound system,audio
577,charging points,fuel / energy / charging
578,remote control,Gesture / Motion Controls
579,room,Passenger Space
580,overall quality,model / generic car terms
581,automatic performance,performance
582,stronic transmission,transmission
583,digital screens,displays / instrumentation
584,third row seats,seats
585,back tire,Wheels & Tyres
586,sport suspension,suspension
587,rear leg room,Passenger Space
588,no load lift,boot/cargo
589,over six foot tall,passenger space
590,satnav screen,displays / instrumentation
591,interior light pattern,model / generic car terms
592,throttle,model / generic car terms
593,family seat,seats
594,digital controls,displays / instrumentation
595,mercedes-benz accents,Design
596,v six,engine/ power train
597,glovebox size,boot/cargo
598,plastic head,exterior materials & finish
599,grill,grill
600,wheel arch,Exterior Materials & Finish
601,rear seat control,seats
602,back legroom,Passenger Space
603,bmw backseat,Seats
604,sl,model / generic car terms
605,engine starting,engine / power train
606,paddle shifters,transmission
607,tired,wheels & tyres
608,sporting suspension,Functionality & Features
609,practical side,Comfort & Ergonomics
610,automatic box,boot/cargo
611,goes over bumps,road terrain
612,space saver,Passenger Space
613,cabin noise,interior
614,side collision avoidance system,safety
615,trip,Distance / Efficiency / Mileage
616,speakers,audio
617,lighting colors,Design
618,steering controls,steering
619,around the bend,driving dynamics / handling
620,launch control system,acceleration
621,running costs,value / cost
622,dynamic steering,steering
623,pulls,acceleration
624,economics,value / cost
625,towing capacity,climate / temperature control
626,laser headlights,lighting
627,a4 dual clutch,transmission
628,comfort mode,Comfort & Ergonomics
629,bmw technology,Technology
630,c 250 d,model / generic car terms
631,drive at speed,drive
632,vehicle lowest setting,model / generic car terms
633,front end look,Design
634,sports exhaust,exhaust
635,window ledges,body class
636,carbon emission,model / generic car terms
637,old v8 engine,engine / power train
638,drawer,storage & utility
639,change,Generic Description & Miscellaneous
640,display panel,Displays / Instrumentation
641,carrying three adults,model / generic car terms
642,bmw x5,model / generic car terms
643,seven speed gear box,transmission
644,moonroof,roof
645,off road,road terrain
646,trunk space,Passenger Space
647,middle seat footroom,Passenger Space
648,operating window,aerodynamics / airflow
649,rear trunk,boot/cargo
650,core,chassis / structural
651,semi autonomous driving system,drive
652,v8 engine,engine / power train
653,video chip,displays / instrumentation
654,sport mode shift,transmission
655,displacement,climate / temperature control
656,center,Interior
657,catches,Keys & Lock
658,mercedes badge,Design
659,load lip,aerodynamics / airflow
660,runs,performance
661,head rest not put up,seats
662,rear quarters,passenger space
663,exterior color,exterior materials & finish
664,middle spot,Passenger Space
665,driving tech,Technology
666,automatic mode,Driving Dynamics / Handling
667,side blades,side section
668,driving on bumps,drive
669,power folding,engine/ power train
670,ecosystem,connectivity / integration
671,gravel road,road terrain
672,voice activation system,climate / temperature control
673,console layer,Software / Interaction
674,technology,Technology
675,towing up,Functional Features
676,ridge,Exterior Materials & Finish
677,suspension,suspension
678,dump control,suspension
679,sport mode,Driving Dynamics / Handling
680,name,model / generic car terms
681,tire holding,wheels & tyres
682,child seat base,seats
683,autonomous driving system,drive
684,indicator,Lighting / Indicators
685,latest generation,model / generic car terms
686,carriage pull,model / generic car terms
687,seat bench,seats
688,audi s a3,model / generic car terms
689,architecture,chassis / structural
690,0 to 60 run,acceleration
691,trunk capacity,climate / temperature control
692,diesel,fuel / energy / charging
693,car settings,model / generic car terms
694,mid corner,cornering
695,steering wheel controls,steering
696,vents,aerodynamics / airflow
697,automated tailgate,boot/cargo
698,general layout,design
699,ico mode,fuel / energy / charging
700,auto gearbox,transmission
701,performance advantage,performance
702,lift items,boot/cargo
703,cover,Exterior Materials & Finish
704,at speed,acceleration
705,suspension(sport),suspension
706,side pillars,chassis / structural
707,aesthetics,Design
708,luxury spectrum,emotional & sensory experience
709,central seat,seats
710,lifting things,boot/cargo
711,detailing,design
712,wooden effect,interior materials & trim / finish
713,rear suspension,suspension
714,agility switch,Driving Dynamics / Handling
715,rs7,model / generic car terms
716,boot light,Lighting / Indicators
717,haptic feedback,Driving Dynamics / Handling
718,reversing camera,driver assistance
719,shifting,transmission
720,curves,body class
721,exhaust tips,exhaust
722,charging panel,Fuel / Energy / Charging
723,windows down,aerodynamics / airflow
724,q7,model / generic car terms
725,four cylinder engine,engine / power train
726,shopping bag hookers,Storage & Utility
727,headroom (people over six foot),Passenger Space
728,boot shape,Design
729,understeer,steering
730,engine brace,engine / power train
731,well being spoiled recreation thing,Emotional & Sensory Experience
732,finish,interior materials & trim / finish
733,belt line,exterior materials & finish
734,lobe,Engine / Power Train
735,footstool,seats
736,virtual cockpit,displays / instrumentation
737,sports package,climate / temperature control
738,r8,model / generic car terms
739,cylinder,engine/ power train
740,a7,model / generic car terms
741,front grill,grill
742,views,visibility & view
743,drive train flooring,drive
744,exhaust clip,exhaust
745,slow road,model / generic car terms
746,seat release,seats
747,acceleration from stop,climate / temperature control
748,emergency service,road terrain
749,formula,performance
750,power seats,seats
751,touchscreen,displays / instrumentation
752,stripe,design
753,dit,Engine / Power Train
754,display,displays / instrumentation
755,electrification,fuel / energy / charging
756,charging sockets,fuel / energy / charging
757,basic five series,model / generic car terms
758,base car,model / generic car terms
759,feeling,Emotional & Sensory Experience
760,rear wheel,drive
761,petrol models,fuel / energy / charging
762,refinement,emotional & sensory experience
763,c 220,model / generic car terms
764,settings,model / generic car terms
765,rear view camera,visibility & view
766,individual setting,model / generic car terms
767,adjustability,Functional Features
768,places,climate / temperature control
769,flat upshift,transmission
770,reclining,seats
771,front brakes,brake
772,generation,model / generic car terms
773,nets,Storage & Utility
774,throttle response,model / generic car terms
775,sea level,road terrain
776,fuel economy,fuel / energy / charging
777,adaptive dampers,suspension
778,sport mode suspension,suspension
779,machine,Generic Description & Miscellaneous
780,graphics screen,displays / instrumentation
781,seating,seats
782,built in sundress holder,Storage & Utility
783,going fast,acceleration
784,gearbox,transmission
785,cargo floor,boot/cargo
786,roll bars,traction / stability
787,kids,Passenger Space
788,back camera,Cameras
789,distance driving,Design
790,mercedes a class,model / generic car terms
791,dynamic package,climate / temperature control
792,launch time,acceleration
793,shifter,transmission
794,bumps,road terrain
795,lettering feature,Functionality & Features
796,set buttons,model / generic car terms
797,mix and match settings,model / generic car terms
798,new look,Design
799,pedal,brake
800,travel,Distance / Efficiency / Mileage
801,front doors,doors
802,s tronic,model / generic car terms
803,"bmw 3 40 i , drive",model / generic car terms
804,500e,model / generic car terms
805,mercedes-benz gcl,model / generic car terms
806,corner,cornering
807,bmw two series,model / generic car terms
808,cup holder,storage & utility
809,quattro,model / generic car terms
810,sl s amg,model / generic car terms
811,trade off,value / cost
812,energy harvesting,fuel / energy / charging
813,i drive,drive
814,three adults in the back,Passenger Space
815,mercedes-benz g . l . a,model / generic car terms
816,pickup range,Distance / Efficiency / Mileage
817,glc,model / generic car terms
818,overall,Generic Description & Miscellaneous
819,ventilated seat option,seats
820,rs three,model / generic car terms
821,steering weight,weight
822,traditional sedan,body type
823,-,Unknown
824,cutout design,Design
825,battery size,model / generic car terms
826,phone spot,connectivity / integration
827,positioning of steering wheel,steering
828,stitched button,model / generic car terms
829,audi rs4,model / generic car terms
830,audi,model / generic car terms
831,putting gear,model / generic car terms
832,acoustic windscreen,climate / temperature control
833,door bin back,Storage & Utility
834,four wheel drive traction,drive
835,tech display,Technology
836,dynamic damper control,suspension
837,upgraded command system,software / interaction
838,premium plus package,climate / temperature control
839,sitting position,model / generic car terms
840,appearance,Design
841,stunning,emotional & sensory experience
842,construction technique,Technology
843,exhausts,exhaust
844,s c car,model / generic car terms
845,get in and out -back,Doors
846,character,climate / temperature control
847,1.6 litre petrol engine,engine / power train
848,equipment,Equipment
849,material on the glove box,boot/cargo
850,steering (sports),steering
851,gear selector,transmission
852,m6,model / generic car terms
853,19 inch wheels,wheels & tyres
854,a4  g5 seating,Seats
855,force,performance
856,engine choice,engine / power train
857,engine mounts,engine / power train
858,image,design
859,competion choices,road terrain
860,360 degree surround camera,cameras
861,tri color logo,Design
862,wear,Quality / Durability
863,mercedes,model / generic car terms
864,mercedes s class coupe a8,body type
865,proportions,Design
866,qualities,Emotional & Sensory Experience
867,tt cornering,cornering / grip
868,touch screen,displays / instrumentation
869,get in back,Doors
870,engine choices,engine / power train
871,split gate,boot/cargo
872,place,climate / temperature control
873,spend extra on adaptive suspension,suspension
874,limit,performance
875,steering and lane controlled assistant,steering
876,cup holders,storage & utility
877,normal comfort suspension,Comfort & Ergonomics
878,instrument gearbox,transmission
879,safe,safety
880,gear changes,transmission
881,adaptive suspension,suspension
882,gear shift,transmission
883,trim (inside),Design
884,map view,visibility & view
885,seat pockets,storage & utility
886,wing mirrors,mirrors
887,noise suppression,audio
888,s5,model / generic car terms
889,bc imports,connectivity / integration
890,seat cover,seats
891,upshift,transmission
892,change direction,steering
893,anchor points,Safety
894,sls,model / generic car terms
895,warning,safety
896,manoeuvring at low speed,steering
897,feet,Passenger Space
898,luxury items,emotional & sensory experience
899,magic sky roof,roof
900,load bay,boot/cargo
901,v 10 plus,model / generic car terms
902,boot opening,doors
903,price tag,road terrain
904,tire,wheels & tyres
905,edition,packages / trims / variants
906,descent,road terrain
907,bmw 360 degree surround camera,model / generic car terms
908,fridge,storage & utility
909,fold third row,Comfort & Ergonomics
910,charging,fuel / energy / charging
911,bonnet opening,bonnet
912,bigger bumps,road terrain
913,practicality,Comfort & Ergonomics
914,ionic,Fuel / Energy / Charging
915,climate controls action,climate / temperature control
916,noises,audio
917,grab handle,Doors
918,dynamic handling package,Driving Dynamics / Handling
919,electric engine,engine / power train
920,back seating,Seats
921,styling cars,Design
922,audi tt,model / generic car terms
923,automatic engines start stop system,engine / power train
924,dirt road,road terrain
925,seats down,seats
926,packaging,climate / temperature control
927,plugin hybrids,fuel / energy / charging
928,individual mode,Driving Dynamics / Handling
929,base price,road terrain
930,backseat legroom,Passenger Space
931,performed,performance
932,hood vent,aerodynamics / airflow
933,torque rating,engine/ power train
934,delay,performance
935,bmw m6,model / generic car terms
936,control system,software / interaction
937,race track,climate / temperature control
938,premium plus package price,climate / temperature control
939,creases,body class
940,s line ride,drive
941,rear passenger,passenger space
942,getting in the back,Doors
943,cummings,Generic Description & Miscellaneous
944,dynamic clutch,transmission
945,m5 designation within tachometer,Design
946,offroad height raise,road terrain
947,spaciousness,climate / temperature control
948,road demeanor,road terrain
949,first few miles,Distance / Efficiency / Mileage
950,road holding,road terrain
951,three in the back,Passenger Space
952,ergonomics,Comfort & Ergonomics
953,entry,doors
954,platform,Chassis / Structural
955,city noise,audio
956,air intake,aerodynamics / airflow
957,wheels,wheels & tyres
958,dash,displays / instrumentation
959,side skirts,side section
960,acoustic glass,climate / temperature control
961,ipad stall screen,displays / instrumentation
962,roof spoiler,roof
963,back side headspace,Passenger Space
964,door down head,doors
965,remote gesture control,gesture / motion controls
966,noise levels,audio
967,quilted leather,interior materials & trim / finish
968,tour curve,road terrain
969,entire engine lineup,engine / power train
970,a6 backseats,Seats
971,s class front seat,model / generic car terms
972,roof panel,Roof
973,vehicle,Generic Description & Miscellaneous
974,roof down,roof
975,average speed,acceleration
976,storage,storage & utility
977,middle seat legroom,Passenger Space
978,full multi beam led headlights,lighting
979,front wheel drive,drive
980,wheel,wheels & tyres
981,inside looks,Design
982,windscreen signature,windscreen / wipers
983,seatbelt straps,seats
984,center arm,seats
985,lift gate,boot/cargo
986,sand,road terrain
987,gt three bumpy road,model / generic car terms
988,interior color,Design
989,right hand drive steering wheel,steering
990,customization,Functionality & Features
991,three series,model / generic car terms
992,phone cradle,connectivity / integration
993,few bumps,road terrain
994,interior trim,Design
995,sound insulation,audio
996,mile above sea level,Distance / Efficiency / Mileage
997,rear track,climate / temperature control
998,equipped levels,Equipment
999,tailgate,boot/cargo
1000,air events,aerodynamics / airflow
1001,storage(front passenger seat),storage & utility
1002,car engineering,engine / power train
1003,brake pedal field,brake
1004,general goodness,Functionality & Features
1005,cabins,interior
