,Unnamed: 0,id,segment_id,aspect_lemmatized,opinion_lemmatized,sentiment
110,34,16,8,rear seat,comparitively spacious,pos
111,,16,8,front quarter,ample headroom taller driver,pos
112,35,16,9,drive,wheel,neu
113,,16,9,ICO mode,save fuel,pos
114,,16,9,ICO mode,exceeds mpg rating three,pos
115,36,16,10,option,premium,pos
116,,16,10,steering,heated,pos
117,37,16,11,-,-,-
118,38,16,12,-,-,-
119,39,17,1,model,smaller,neu
120,,17,1,type,compact SUV,neu
121,40,17,2,exterior,sporting look offroad activity,pos
122,,17,2,look,agressive parking maneuver,pos
123,,17,2,roof,lower,neu
124,,17,2,roofline,athletic,pos
125,,17,2,grill,kidney,neu
126,,17,2,grill,longer,pos
127,,17,2,headlight,new,pos
128,,17,2,tail light,new,pos
129,,17,2,roof spoiler,downward sloping,pos
130,,17,2,look,aggressive,neu
131,,17,2,look,muscular,neu
132,,17,2,look,mean,neu
133,,17,2,interior fit finish,piano black,neu
134,,17,2,interior fit finish,nice,pos
135,,17,2,finish,fake,neg
136,,17,2,interior,badging everywhere,pos
137,,17,2,dash,dramatically sparse,pos
138,,17,2,dash,elegant,pos
139,,17,2,center stack,well thought,pos
140,,17,2,button,enough,pos
141,,17,2,technology,nice balance high low,pos
142,,17,2,display,touchscreen,neu
143,41,17,3,center console,good use,pos
144,,17,3,cup holder,integrated,pos
145,42,17,4,dash,make car feel brighter,pos
146,,17,4,visibility,improves,pos
147,43,17,5,head display,larger,pos
148,,17,5,steering wheel,sport,neu
149,,17,5,digital gauge cluster,optional,neu
150,44,17,6,seat,firm,neu
151,,17,6,seat,like feel,pos
152,,17,6,seat,little lacking snazzy look,neg
153,,17,6,leg room second row,okay,neu
154,,17,6,headroom,okay,neu
155,,17,6,headroom,larger person might issue,neg
156,,17,6,middle seat,really one,neg
157,45,17,7,boot capacity,,pos
158,46,17,8,acoustic,nice,pos
159,,17,8,wind noise,well controlled,pos
160,,17,8,city noise,well controlled,pos
161,,17,8,interior experience,really pleasent,pos
162,,17,8,acoustic,much improved,pos
163,47,17,9,-,-,-
164,48,17,10,engine,zero lag,pos
165,,17,10,eight speed automatic transmission,excellent,pos
166,,17,10,gear shift,expeditious,pos
167,,17,10,gear shift,well spaced,pos
168,,17,10,sport mode,little interesting,pos
169,,17,10,sport mode,gear held longer,pos
170,,17,10,sport mode,acceleration immediate,pos
171,,17,10,sport mode,lot BMW,pos
172,,17,10,sport mode,control,pos
173,,17,10,sport mode,quick acceleration,pos
174,,17,10,sport mode,situation simply hit,pos
175,49,17,11,ride,feel well,pos
176,,17,11,sitting,high,pos
177,,17,11,feel,like sedan,neu
178,,17,11,chasis,rigid firm right place,pos
179,,17,11,suspension,rigid comfortable,pos
180,,17,11,balance,strike nice,pos
181,,17,11,steering,nice resistance,pos
182,,17,11,steering,responsive,pos
183,,17,11,steering,quick,pos
184,,17,11,drive,really really great,pos
185,,17,11,inside,kind like Goldie lock,pos
186,50,17,12,X Drive System,enhanced traction handling,pos
187,,17,12,X Drive System,offroad capability,pos
188,51,17,13,-,-,-
189,52,17,14,-,-,-
190,53,17,15,price,pricier,neg
191,,17,15,downforce,improved,pos
192,,17,15,rear apron,diffuser style,neu
193,,17,15,trim,side skirt,neu
194,,17,15,intake,larger,pos
195,54,17,16,engine,pretty beefed number,pos
196,55,17,17,M performance version,plus move,pos
197,56,17,18,dynamic handling package,prolific,pos
198,,17,18,steering,variable,pos
199,,17,18,steering,sport,pos
200,,17,18,brake,sport,pos
201,,17,18,damper control,dynamic,pos
202,,17,18,ride quality,improved,pos
203,57,17,19,-,-,-
204,58,17,20,-,-,-
205,59,17,21,Android auto,wireless,pos
206,,17,21,Android auto,like,pos
207,60,17,22,-,-,-
208,61,17,23,drive,really satisfying,pos
209,,17,23,X3,luxurious,pos
210,62,18,1,look,straight ad sponsored sci fi film,pos
211,,18,1,technology,24 thinking,neu
212,,18,1,weight,lightweight,pos
213,,18,1,powertrain,sophisticated,pos
214,63,18,2,formula,oven guard,neu
215,,18,2,door,vertical opening,pos
216,,18,2,door,scissor,neu
217,,18,2,door,progressive,pos
218,64,18,3,look,futuristic,pos
219,,18,3,front apron port,reduce drag,pos
220,,18,3,hood vent,functional,pos
221,,18,3,rear balance,show,neg
222,65,18,4,current design,contemporary,pos
223,,18,4,accent,blue,neu
224,,18,4,accent,clear contrast,neu
225,,18,4,material,high quality,pos
226,,18,4,front seat,aesthetic shell type,pos
227,,18,4,glass,chemically hardened,pos
228,,18,4,glass,emphasize eye,pos
229,,18,4,weight,lightweight,pos
230,66,18,5,practical,surprisingly,pos
231,67,18,6,rear seat,suitable,neg
232,,18,6,cargo space,small cubby hole,neg
233,68,18,7,-,-,-
234,69,18,8,front seat,weight conscious,neu
235,,18,8,front seat,six way adjustable,neg
236,,18,8,front seat,lumbar support,neg
237,70,18,9,accelerates,BMW,pos
238,,18,9,handle,BMW,pos
239,,18,9,high speed,exceptionally composed,pos
240,,18,9,corner,carves surgeon precision,pos
241,,18,9,stereo system,truly unique,pos
242,,18,9,electric assisstant,criticism regarding feedback,pos
243,,18,9,electric steering,cracked code,pos
244,,18,9,steering,electromechanical,pos
245,,18,9,steering,responsive,pos
246,,18,9,steering,effortless,pos
247,,18,9,steering,hydraulically actuated,neu
248,71,18,10,exhaust note,tune,pos
249,,18,10,engine,better efficiency,pos
250,,18,10,drive system,hyper intelligent,pos
251,,18,10,transmission,lightweight,pos
252,,18,10,weight,lighter,pos
253,72,18,11,-,-,-
254,73,18,12,sound system,premium,pos
255,,18,12,cruise control,adaptive,pos
256,,18,12,windshield wiper,rain sensing,pos
257,74,18,13,leather,perforated,pos
258,,18,13,leather,exclusive color,pos
259,,18,13,seatbelt strap,blue,neu
260,,18,13,seatbelt strap,cosmetic variety,pos
261,75,18,14,price point,shortage alternative,neu
262,76,18,15,A8,everyone,neg
263,77,19,1,-,-,-
264,78,19,2,body structure,aluminium intensive,neu
265,,19,2,body structure,three inch wider,pos
266,,19,2,exhaust tip,quad,neu
267,,19,2,car,fender adornment,pos
268,79,19,3,chasis,modified,pos
269,,19,3,car,racy,pos
270,,19,3,engine,really special,pos
271,,19,3,power,lack,pos
272,,19,3,power,useable,pos
273,80,19,4,torque,enough pull,pos
274,,19,4,brake,still feel really good,pos
275,,19,4,brake,sign fading,pos
276,,19,4,brake,little squeaking,neg
277,,19,4,drive,magical,pos
278,,19,4,turn,delay,pos
279,,19,4,throttle,extremely predictable,pos
280,81,19,5,-,-,-
281,82,19,6,driving experience,really pleasent,pos
282,,19,6,sound,cabin fairly quiet,pos
283,83,19,7,power seat,comfortable,pos
284,,19,7,power seat,supportive,pos
285,84,19,8,steering wheel,offer ability,pos
286,85,19,9,comfort,impressive,pos
287,,19,9,ride,comfortable,pos
288,,19,9,race track,capable,pos
289,86,19,10,transmission,unrefined nature,neg
290,,19,10,transmission,cold,neg
291,,19,10,speed,absolutely brilliant,pos
292,,19,10,gear change,zero lag time,pos
293,,19,10,throttle,feel little bit partial engagement,pos
294,,19,10,gear change,pretty neat,pos
295,,19,10,manual driving,quiet taken,pos
296,,19,10,manual driving,responsive,pos
297,,19,10,clutch,light,pos
298,,19,10,clutch,easy use,pos
299,,19,10,steering,really good,pos
300,87,19,11,M two,refined nature,pos
301,,19,11,M two,return glory,pos
302,88,20,1,vehicle,coupe like,neu
303,89,20,2,car,proper coop,neg
304,,20,2,car,comparitively sporty,pos
305,,20,2,X two,lower,neu
306,,20,2,X two,le lengthy,neu
307,90,20,3,interior space,suffer,neg
308,,20,3,car,condensed form,neu
309,,20,3,seating position,preferred,pos
310,,20,3,seating position,knee touch,pos
311,,20,3,cutout design,thanks,pos
312,,20,3,front seat,little bit high,neu
313,,20,3,fron seat,slide foot underneath,pos
314,,20,3,back seat,recline little bit,pos
315,,20,3,back seat,comfortable,pos
316,,20,3,headliner,bad,neu
317,,20,3,middle spot,like extended trip,neg
318,,20,3,roof line,dipping,neg
319,,20,3,back seat,mind ducking,neg
320,,20,3,backseat,endurable,neg
321,91,20,4,underfloor storage,super deep,pos
322,,20,4,boot,sizeable square space,pos
323,,20,4,boot lip,high,neg
324,92,20,5,rear seat,lowered cargo area,neg
325,,20,5,steering,wish lower,neg
326,,20,5,rear seat,lowered,pos
327,93,20,6,feel,real BMW,pos
328,,20,6,material,pleasing,pos
329,,20,6,layout,stylish,pos
330,,20,6,upholstery,nice,pos
331,,20,6,upholstery,nice faux leather,pos
332,,20,6,seat,10 way power adjustable,pos
333,,20,6,side bolster,fancy,pos
334,94,20,7,Apple Carplay price,offensive,neg
335,95,20,8,Apple Carplay,wireless,pos
336,96,20,9,veering,superficial,neg
337,,20,9,look,cool,pos
338,,20,9,BMW badge,tempted remove,neu
339,97,20,10,vibe,squat,pos
340,,20,10,vibe,athletic,pos
341,,20,10,driving,athletic,pos
342,,20,10,corner handling,carry serious speed,pos
343,98,20,11,steering,little imprecise,neg
344,,20,11,brake pedal,demand finesse,neg
345,,20,11,brake pedal,touchy,neg
346,,20,11,drive,generally pleasure,pos
347,99,20,12,roof line,stylish,pos
348,,20,12,blind spot,massive,neg
349,100,20,13,-,-,-
350,101,20,14,visibility,issue,neg
351,,20,14,sport suspension,ride quality skews firmer side,pos
352,,20,14,driving assisstance package,happy note,pos
353,102,20,15,ride comfort,top priority,pos
354,,20,15,damper,adjustable,pos
355,,20,15,ICO pro mode,efficiency enhancing,pos
356,,20,15,dynamic cruise control,handy,pos
357,,20,15,drive,front wheel standard,neu
358,103,20,16,shift lever,mechanical,neu
359,,20,16,shift lever,blessedly simple,pos
360,,20,16,electronic shifter,comparitively tricky,neg
361,,20,16,automatic engine start stop system,intrusive,neu
362,,20,16,automatic engine start stop system,help save,pos
363,,20,16,switch,conveniently placed,pos
364,,20,16,engine,refined operation,pos
365,,20,16,acceleration,brisk,pos
366,,20,16,turbo lag,lag,pos
367,,20,16,fuel economy,good,pos
368,104,20,17,price,ain't cheap,neg
369,,20,17,fuel,recommends premium,neu
370,105,20,18,M6 port,loaded,pos
371,,20,18,drive,wheel,neu
372,,20,18,Mercedes-Benz G g l,powerful,pos
373,,20,18,BMW X3,decently equipped,neu
374,106,20,19,-,-,-
375,107,20,20,x two,swap practicaly style,neu
376,108,21,1,size,smallest,neu
377,,21,1,price,cheapest,pos
378,,21,1,proportion,sub compact,neu
379,,21,1,type,SUV,neu
380,109,21,2,size,small,neu
381,,21,2,cargo area,small,pos
382,,21,2,trunk,conveniently square,pos
383,,21,2,underfloor storage area,handy,pos
384,,21,2,rear seat,20 40 split,pos
385,,21,2,rear seat,handy,pos
386,,21,2,backseat,drop,pos
387,,21,2,power release,optional,neu
388,,21,2,cargo hold,fairly flat,pos
389,,21,2,cargo hold,surprisingly vast,pos
390,110,21,3,storage nook,throughout,pos
391,,21,3,front seat set,impressive,pos
392,,21,3,leg room,great,pos
393,,21,3,footspace,excellent,pos
394,,21,3,headroom,similarly good,pos
395,,21,3,middle,hump,neg
396,,21,3,middle seat,perfectly inhabitable,pos
397,111,21,4,centre armrest,adjustable,pos
398,,21,4,centre armrest,comfortable height,pos
399,,21,4,centre armrest,touch storage base,pos
400,,21,4,second row seat,sliding,pos
401,,21,4,second row seat,reclining,pos
402,,21,4,comfort,even better,pos
403,112,21,5,X1,proper BMW,pos
404,,21,5,plastic,high quality,pos
405,,21,5,material,soft,pos
406,,21,5,cabin layout,stylish,pos
407,113,21,6,X1,smaller,neu
408,,21,6,X1,cheaper,pos
409,,21,6,steering,slack,neg
410,,21,6,corner,adept,pos
411,,21,6,traffic,adept slogging,pos
412,,21,6,move,sporty,pos
413,,21,6,move,pleasing,pos
414,,21,6,drive,like BMW,neu
415,114,21,7,X1,definitely fun BMW,neg
416,,21,7,drive,pretty thrilling,pos
417,,21,7,SUV,small,neu
418,,21,7,SUV,luxury,pos
419,,21,7,type,SUV,neu
420,115,21,8,power,fairly well,pos
421,116,21,9,car,winning combination,pos
422,,21,9,acceleration,swift,pos
423,,21,9,operation,refined,pos
424,,21,9,fuel economy,good,pos
425,117,21,10,accleration,engine take moment spool,pos
426,,21,10,automatic engine start stop system,engine restarts jarring,neg
427,,21,10,powerful,plenty,pos
428,,21,10,drive,rear wheel,neu
429,,21,10,wheel drive,raise base price,neg
430,,21,10,wheel drive,plus traction suffers,pos
431,118,21,11,drive mode,multiple,pos
432,,21,11,X1,customized,pos
433,,21,11,sport mode,quicker throttle response,pos
434,,21,11,sport mode,heavy steering,pos
435,,21,11,ICO pro mode,efficiency enhancing,pos
436,,21,11,coasting,sound fun,pos
437,119,21,12,seat,eight way power,neu
438,,21,12,lift gate,power,neu
439,120,21,13,Mercedes-Benz G . L . A,seductive,pos
440,,21,13,Audi Q3,sophisticated,pos
441,,21,13,Lincoln M . K . C,well equipped,pos
442,121,21,14,backup camera,optional,neu
443,122,21,15,roof,moon,pos
444,,21,15,roof,panoramic,pos
445,,21,15,front seat,leather,pos
446,,21,15,front seat,heated,pos
447,123,21,16,-,-,-
448,124,21,17,option package,go nutty,pos
449,125,21,18,X1,much BMW,pos
450,,21,18,X1,smaller,neu
451,,21,18,parkability,appreciate,pos
452,126,22,1,-,-,-
453,127,22,2,BMW I A8,much racier,pos
454,,22,2,BMW I A8 price,expensive,neg
455,,22,2,car,electric,neu
456,128,22,3,BMW badge,important,pos
457,,22,3,plastic,reinforced,neu
458,129,22,4,-,-,-
459,130,22,5,-,-,-
460,131,22,6,engine,tiny,neu
461,,22,6,total range,double,pos
462,,22,6,pure electric range,little bit reduced,neg
463,,22,6,engine,add weight,neg
464,132,22,7,drive,like BMW,pos
465,,22,7,steering,variable assisst,pos
466,,22,7,steering,quick ratio,pos
467,,22,7,steering,nimble sense,pos
468,,22,7,steering,nicely supported,pos
469,,22,7,handling limit,higher expected,pos
470,,22,7,body roll,bit,neg
471,,22,7,car,tall,pos
472,,22,7,car,electric,pos
473,,22,7,drive,wierdly fun,pos
474,133,22,8,BMW I three,celebrates hard,pos
475,,22,8,engine,keep pulling,pos
476,,22,8,pull,nice,pos
477,134,22,9,power recovery,really aggressive,neu
478,,22,9,electric motor,really strange,neg
479,135,22,10,deceleration,shame,neg
480,,22,10,brake,feel almost normal,neu
481,136,22,11,window,big,pos
482,,22,11,turning circle,tight,neu
483,,22,11,length,short,neu
484,137,22,12,optional backup camera,easy maneuver,pos
485,,22,12,parking sensor,easy maneuver,pos
486,138,22,13,suspension,skillfully manages tarmac inconsistency,pos
487,139,22,14,car,electric,pos
488,140,22,15,-,-,-
489,141,22,16,BMW,traditional progressive balance pretty well,pos
490,,22,16,stance,tall,pos
491,,22,16,window,frameless,pos
492,,22,16,panel,contrasting,pos
493,,22,16,weirdness,general,neu
494,,22,16,car,utterly distinct,pos
495,,22,16,car,weird endearing way,pos
496,142,22,17,panel,reflex,neg
497,,22,17,interior,feel pretty special,pos
498,,22,17,interior,swoopy shape,pos
499,,22,17,interior,contrasting texture,pos
500,,22,17,dash,bold futurism,pos
501,,22,17,A3,surprisingly welcoming,pos
502,,22,17,interior,familiar BMW,pos
503,143,22,18,steering wheel control,straightforward,pos
504,,22,18,bluetooth,easy pair,pos
505,,22,18,I Drive,intuitive,pos
506,,22,18,auxillary connector,conveniently placed,pos
507,,22,18,auxillary connector,clearly labelled,pos
508,,22,18,Dr Selector,annoying,neg
509,144,22,19,putting gear,pretty straightforward,pos
510,,22,19,push button reach,awkwardly around steering,neg
511,145,22,20,screen,far away,neg
512,146,22,21,screen,nice bigger,neg
513,,22,21,get,reasonably simple,pos
514,,22,21,front climbing back,effort,neu
515,,22,21,contouring,comfortable,pos
516,,22,21,headroom,plentiful,pos
517,,22,21,center armrest,adjustable,neu
518,,22,21,steering wheel,telescopic,pos
519,,22,21,steering wheel,long throw,pos
520,,22,21,steering,easy meld car,pos
521,,22,21,front seat,nice,pos
522,,22,21,front seat,adjustable,pos
523,,22,21,front seat,lumbar support,pos
524,,22,21,backseat legroom,okay,neu
525,,22,21,back,really quite good,pos
526,,22,21,back seating,elevated,pos
527,,22,21,view,nice,pos
528,,22,21,view,claustrophobia free,pos
529,147,22,22,lift height,high,neg
530,,22,22,loading heavy cargo,struggle,pos
531,,22,22,trunk size,decent,neu
532,,22,22,trunk shape,pragmatic,pos
533,148,22,23,-,-,-
534,149,22,24,headlight,led,neu
535,,22,24,upholstery,leather like,pos
536,,22,24,-,-,-
537,150,22,25,-,-,-
538,151,22,26,audio system,premium,pos
539,,22,26,quick charge system,bump battery 80%,pos
540,152,22,27,-,-,-
541,153,22,28,car,electric,neu
542,,22,28,car,everybody,neg
543,,22,28,car,premium,pos
544,,22,28,car,expensive,pos
545,,22,28,look,utterly insane,neg
546,154,22,29,-,-,-
547,165,38,11,weight,le,pos
548,,38,11,weight,lighter,pos
549,169,38,15,-,-,-
550,172,212,1,car,smallest Mercedes SUV,neu
551,,212,1,car,fast fast,neu
552,174,212,3,look,distinctive,pos
553,,212,3,grill,wider,pos
554,,212,3,diffuser,aggressive,neu
555,,212,3,height,lower,neu
556,,212,3,exhaust tip,chrome black,neu
557,,212,3,exhaust tip,compliment,pos
558,175,212,4,steering wheel,flat bottom,neu
559,,212,4,contrast,super fancy red,pos
560,,212,4,accent,carbon fibre,neu
561,,212,4,front seat,extra bolstering,pos
562,176,212,5,GOC 43,high performance SUV,pos
563,177,212,6,-,-,-
564,178,212,7,engine,,pos
565,,212,7,pull,hard,pos
566,,212,7,pull,low,pos
567,179,212,8,exhaust sound,fantastic,pos
568,180,212,9,stop,hurry,neg
569,,212,9,overall,really good,pos
570,181,212,10,nine speed automatic,quick witted,pos
571,182,212,11,drive,wheel,neu
572,183,212,12,engine,undoubtedly centerpiece,pos
573,184,212,13,handling,legitamate,pos
574,,212,13,rubber,sticky,neu
575,,212,13,rubber,continental,neu
576,185,212,14,ride quality,posse simple,neg
577,,212,14,turning,chasis roll past degree,neg
578,,212,14,chasis,firm,neu
579,186,212,15,ride quality,harsh,neu
580,,212,15,ride quality,smooth,pos
581,187,212,16,price,cheap,neg
582,,212,16,price,number desirable standard,pos
583,189,212,18,-,-,-
584,190,212,19,-,-,-
585,191,212,20,shape,interesting,pos
586,,212,20,practicality,le practical actually,neu
587,,212,20,car,engaging dynamic quality,pos
588,192,212,21,car,super sporty crossover,pos
589,,212,21,car,everyone,neg
590,193,213,1,-,-,-
591,194,213,2,drive,rear wheel,neu
592,,213,2,car,two seat convertible,pos
593,195,213,3,V six,really good,pos
594,,213,3,power,come quickly,pos
595,,213,3,power,plety,pos
596,196,213,4,nine speed automatic transmission,best,pos
597,,213,4,speed transmission shift,staggering immediacy,pos
598,,213,4,fuel,really satisfying,pos
599,,213,4,fuel,mechanical,neu
600,197,213,5,gear shifter,hilariously small,neg
601,198,213,6,power,notable advantage,pos
602,,213,6,suspension,much stiffer,neu
603,,213,6,suspension,enhances dynamic ability,pos
604,,213,6,suspension,enhances imperfection road,neg
605,199,213,7,SL C300,better choice,pos
606,,213,7,0 60 time,perfectly zippy,pos
607,,213,7,four cylinder engine,fine,pos
608,200,213,8,-,-,-
609,201,213,9,drive,fun,pos
610,,213,9,steer,joyful urgency,pos
611,,213,9,weight,heavier,neg
612,202,213,10,cruising,high speed,pos
613,,213,10,cruising,dig stable,pos
614,203,213,11,top,hard,neu
615,,213,11,top,retractable,neu
616,,213,11,security,advantage,pos
617,,213,11,interior noise,advantage,pos
618,,213,11,trunk capacity,drop nearly half top lowered,pos
619,204,213,12,experience,open air,pos
620,,213,12,experience,delightful,pos
621,205,213,13,top air,flow smootly,pos
622,,213,13,view,penned header,pos
623,,213,13,feel,open,pos
624,,213,13,feel,connected outside world,pos
625,206,213,14,top,still enjoy scenery,pos
626,,213,14,roof panel,electro chroma,pos
627,,213,14,Magic Sky Control,cool trick,pos
628,,213,14,Magic Sky Control,modestly impress,pos
629,207,213,15,cabin,hard criticize,neg
630,,213,15,climate control knob,feel plasticky,neg
631,,213,15,climate control knob,cheap,neg
632,,213,15,interior,well appointed,pos
633,,213,15,interior,classy,pos
634,,213,15,interior,right sized,pos
635,208,213,16,head space,double check tall people,neu
636,209,213,17,seat,contoured,pos
637,,213,17,seat,ensure long haul comfort,pos
638,,213,17,storage cubby,decent size,pos
639,,213,17,nook,decent size,pos
640,,213,17,cabin,dose practicalty,pos
641,210,213,18,seat,power,pos
642,,213,18,seat,eight way,pos
643,,213,18,roof,glass panel,pos
644,,213,18,engine start stop system,automatic,neu
645,,213,18,engine start stop system,help save fuel,pos
646,211,213,19,-,-,-
647,212,213,20,seat,heated,pos
648,,213,20,air scarf,blast neck toasty toasty air,pos
649,,213,20,sound,Harman Kardon surround,neu
650,213,213,21,air scarf,lover feature,pos
651,,213,21,blind spot warning,enjoy,pos
652,,213,21,suspension,adaptive,neu
653,,213,21,cruise control,adaptive,neu
654,,213,21,headlamp,led,neu
655,214,213,22,-,-,-
656,215,213,23,-,-,-
657,216,213,24,-,-,-
658,217,213,25,Portia 7 18,utterly sexy,pos
659,,213,25,Portia 7 18,brilliant handling,pos
660,218,213,26,-,-,-
661,219,213,27,-,-,-
662,220,213,28,price,competitively priced,pos
663,221,213,29,car,fun,pos
664,,213,29,car,attractive,pos
665,,213,29,interior,top,pos
666,222,213,30,value,reasonably well,pos
667,,213,30,interior,fantastic,pos
668,223,213,31,-,-,-
669,224,215,1,car,mechanical mastery model,pos
670,,215,1,car,purest driver,pos
671,225,215,2,-,-,-
672,226,215,3,body,seductively sculpted line,pos
673,,215,3,proportion,elegantly edgy,pos
674,,215,3,car,sport,pos
675,,215,3,car,iconic Mercedes-Benz,pos
676,,215,3,hood,long,pos
677,,215,3,deck,short,pos
678,,215,3,side vent,functional,pos
679,,215,3,look,special,pos
680,227,215,4,chasis,mostly aluminium,neu
681,,215,4,weight,still tip scale,neu
682,228,215,5,dynamic engine,optional,neu
683,,215,5,chasis brace,multitude,pos
684,,215,5,suspension,remote,neu
685,,215,5,suspension,electronically controlled,neu
686,,215,5,car,totally liveable,pos
687,,215,5,seat,compressed vertebra,pos
688,,215,5,car,daily,pos
689,,215,5,car,driveable,pos
690,,215,5,car,civilized,pos
691,,215,5,car,supercar,pos
692,,215,5,steer,oversteer,neg
693,,215,5,steer,thruster make look pretty cool,pos
694,229,215,6,-,-,-
695,230,215,7,car,hell thing,pos
696,231,215,8,car,sport,pos
697,,215,8,top discerning,bit underwhelming,neg
698,,215,8,power,surge dramatic yet orderly manner,pos
699,,215,8,balance,additional thrust upset harmonious balance,neg
700,232,215,9,-,-,-
701,233,215,10,power,boasting abundance,pos
702,,215,10,aero bit,active,neu
703,,215,10,aero bit,additional,neu
704,,215,10,aero bit price,lot money,neg
705,234,215,11,paddle shifter,delay,neu
706,,215,11,pedal field,linear,neg
707,,215,11,stopping power,absolutely tremendous,pos
708,,215,11,acceleration,slowly stop,neg
709,,215,11,acceleration stop,irritating,neg
710,235,215,12,drive,minor jerkiness,neg
711,,215,12,performance,unexpectedly well,pos
712,,215,12,noise level,par,pos
713,,215,12,visibility,good untill need back,neg
714,,215,12,car,daily driver,neu
715,236,215,13,storage space,reasonable amount,pos
716,,215,13,design,nifty liftback,pos
717,,215,13,seat,bit firm,neg
718,,215,13,front seat,let toss item trunk,pos
719,237,215,14,leg side bolster,admirable job holding place,pos
