,id,segment_id,review,aspect,opinion,sentiment,topic
14,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",ride quality,totally comfortable,pos,comfort
15,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",ride quality,hair firmer than Mercedes Eclass,pos,handling
16,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",drive,more like a smaller seven,neu,handling
17,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",luxury spectrum,not a bad thing,pos,quality-aesthetic
18,15,4,Noise suppression is positively top notch .,noise suppression,positively top notch,pos,comfort
19,15,5,"The turning radius is insanely tight , which I'm sure is largely attributed to the rear wheel steering .",turning radius,insanely tight,pos,handling
20,15,5,"The turning radius is insanely tight , which I'm sure is largely attributed to the rear wheel steering .",seats,more adjustment points,pos,comfort
21,15,6,"And the seats are fantastic , with more adjustment points than most people would know what to do with . If you can't find a position to accommodate your body type , find a new body type .",seats,fantastic,pos,comfort
22,15,6,"And the seats are fantastic , with more adjustment points than most people would know what to do with . If you can't find a position to accommodate your body type , find a new body type .",seats,more adjustment points than most people would know,pos,comfort
23,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",sun visors,don't slide,neg,interior-features
24,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",sun visors,hit you in the face,neg,interior-features
25,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",steering wheel,laughably thick,neg,interior-features
26,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",instrument cluster,beautifully mixes physical and digital design elements,pos,interior-features
27,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",seats,ruby,neu,quality-aesthetic
28,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",center tunnel,huge,neu,interior-features
29,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",rear seats,foldable,pos,exterior-features
30,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",floor,low,pos,exterior-features
31,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",floor,flat,pos,exterior-features
32,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",boot capacity,vast,pos,exterior-features
33,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",boot capacity,supremely usable,pos,exterior-features
34,15,9,"At the front of the car sits an engine bay that could be filled with one of four powertrains . Nazi . There's a two litre , turbo charged , four cylinder , A3 liter turbocharged inline six A4 60.4 liter turbocharged V8 and a plug in hybrid that blends electric propulsion with a triple charged four cylinder engine to deliver swift acceleration in 16 miles , a pure electric range . Following seven hours of charging on a standard household outlet , we will drive a standard across the board with all wheel drive optional , accepting the all wheel drive only M5 50 I . Also standard is an eight speed automatic transmission and automatic engine stop start feature that saves fuel when the vehicle is motionless . It can also be turned off if you prefer .",acceleration,swift,pos,performance
35,15,9,"At the front of the car sits an engine bay that could be filled with one of four powertrains . Nazi . There's a two litre , turbo charged , four cylinder , A3 liter turbocharged inline six A4 60.4 liter turbocharged V8 and a plug in hybrid that blends electric propulsion with a triple charged four cylinder engine to deliver swift acceleration in 16 miles , a pure electric range . Following seven hours of charging on a standard household outlet , we will drive a standard across the board with all wheel drive optional , accepting the all wheel drive only M5 50 I . Also standard is an eight speed automatic transmission and automatic engine stop start feature that saves fuel when the vehicle is motionless . It can also be turned off if you prefer .",range,pure electric,pos,performance
36,15,9,"At the front of the car sits an engine bay that could be filled with one of four powertrains . Nazi . There's a two litre , turbo charged , four cylinder , A3 liter turbocharged inline six A4 60.4 liter turbocharged V8 and a plug in hybrid that blends electric propulsion with a triple charged four cylinder engine to deliver swift acceleration in 16 miles , a pure electric range . Following seven hours of charging on a standard household outlet , we will drive a standard across the board with all wheel drive optional , accepting the all wheel drive only M5 50 I . Also standard is an eight speed automatic transmission and automatic engine stop start feature that saves fuel when the vehicle is motionless . It can also be turned off if you prefer .",engine stop start feature,saves fuel,pos,performance
37,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",drive modes,customized driving experience,pos,handling
38,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",drive modes,operate as expected,pos,handling
39,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",ICO mode,surprisingly fun,pos,handling
40,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",sport mode,so dedicated,pos,handling
41,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",front seat side bolster,tighten,pos,comfort
42,15,11,"BMW five series could be Spectra , a wide range of prices from slightly more than $52,000 well over $80,000 for a loaded in 5 50 i X Dr . For the moment , though , let's focus on the cheaper end of the spectrum or even a base 5 30 I include 16 way adjustable front seats , navigation with real time traffic , automatic brake cold , adaptive led headlights and a 12 speaker audio system though a backup camera inexplicably costs extra well , a basic five Syriza's a perfectly lovely conveyance .",price,offers wide range,pos,cost
43,15,11,"BMW five series could be Spectra , a wide range of prices from slightly more than $52,000 well over $80,000 for a loaded in 5 50 i X Dr . For the moment , though , let's focus on the cheaper end of the spectrum or even a base 5 30 I include 16 way adjustable front seats , navigation with real time traffic , automatic brake cold , adaptive led headlights and a 12 speaker audio system though a backup camera inexplicably costs extra well , a basic five Syriza's a perfectly lovely conveyance .",basic five series,perfect lovely conveyance,pos,general-information
44,15,11,"BMW five series could be Spectra , a wide range of prices from slightly more than $52,000 well over $80,000 for a loaded in 5 50 i X Dr . For the moment , though , let's focus on the cheaper end of the spectrum or even a base 5 30 I include 16 way adjustable front seats , navigation with real time traffic , automatic brake cold , adaptive led headlights and a 12 speaker audio system though a backup camera inexplicably costs extra well , a basic five Syriza's a perfectly lovely conveyance .",front seats,16 way adjustable,neu,comfort
45,15,11,"BMW five series could be Spectra , a wide range of prices from slightly more than $52,000 well over $80,000 for a loaded in 5 50 i X Dr . For the moment , though , let's focus on the cheaper end of the spectrum or even a base 5 30 I include 16 way adjustable front seats , navigation with real time traffic , automatic brake cold , adaptive led headlights and a 12 speaker audio system though a backup camera inexplicably costs extra well , a basic five Syriza's a perfectly lovely conveyance .",headlights,adaptive led,neu,exterior-features
46,15,12,"Pricier versions and the option sheet reveal a plethora of automotive delights . Standouts include ventilated , massaging front seats that keep you from getting store by nudging you around like one of those goofball for derides , a system that parks itself using the key FOB passive entry .",pricier versions,plethora of automotive delights,pos,cost
47,15,12,"Pricier versions and the option sheet reveal a plethora of automotive delights . Standouts include ventilated , massaging front seats that keep you from getting store by nudging you around like one of those goofball for derides , a system that parks itself using the key FOB passive entry .",front seats,massaging,pos,comfort
48,15,12,"Pricier versions and the option sheet reveal a plethora of automotive delights . Standouts include ventilated , massaging front seats that keep you from getting store by nudging you around like one of those goofball for derides , a system that parks itself using the key FOB passive entry .",front seats,ventilated,pos,comfort
49,15,13,"Glorious sounding , premium audio systems ended , adaptive staring system that works well until it doesn't . We encountered a few instances where the system was behaving normally and surprise , it decided all on its own , and it just didn't wanna work anymore . And we ran into a chicken coop that it happened .",audio systems,glorious sounding,pos,interior-features
50,15,13,"Glorious sounding , premium audio systems ended , adaptive staring system that works well until it doesn't . We encountered a few instances where the system was behaving normally and surprise , it decided all on its own , and it just didn't wanna work anymore . And we ran into a chicken coop that it happened .",audio systems,premium,pos,interior-features
51,15,13,"Glorious sounding , premium audio systems ended , adaptive staring system that works well until it doesn't . We encountered a few instances where the system was behaving normally and surprise , it decided all on its own , and it just didn't wanna work anymore . And we ran into a chicken coop that it happened .",steering system,adaptive,neu,handling
52,15,13,"Glorious sounding , premium audio systems ended , adaptive staring system that works well until it doesn't . We encountered a few instances where the system was behaving normally and surprise , it decided all on its own , and it just didn't wanna work anymore . And we ran into a chicken coop that it happened .",steering system,works well untill it doesn't,neg,handling
53,15,14,"But we could have if that doesn't turn you off . A5 . Siri's can also be equipped with additional advance safety technology like blind spot monitoring for collision warning with automatic braking and a side collision avoidance system that automatically steers you away from vehicles that drift into your lane . Like , for example , another five . Siri's equipped with adaptive steering , further personalized A5 .",safety technology,advanced,pos,safety
54,15,14,"But we could have if that doesn't turn you off . A5 . Siri's can also be equipped with additional advance safety technology like blind spot monitoring for collision warning with automatic braking and a side collision avoidance system that automatically steers you away from vehicles that drift into your lane . Like , for example , another five . Siri's equipped with adaptive steering , further personalized A5 .",side collision avoidance system,automatically steers you away,pos,safety
55,15,14,"But we could have if that doesn't turn you off . A5 . Siri's can also be equipped with additional advance safety technology like blind spot monitoring for collision warning with automatic braking and a side collision avoidance system that automatically steers you away from vehicles that drift into your lane . Like , for example , another five . Siri's equipped with adaptive steering , further personalized A5 .",adaptive steering,further personalized,pos,handling
56,15,15,"Siri's interior could be outfitted with numerous upholstery in trim themes , know whichever you choose real interior centerpieces .",trim,numerous upholstery,pos,quality-aesthetic
57,15,15,"Siri's interior could be outfitted with numerous upholstery in trim themes , know whichever you choose real interior centerpieces .",interior,real centrepieces,pos,quality-aesthetic
58,15,16,"This I drive , which has been completely revamped and now features a large tiled main menu along with your sub menus . Overall , a touch screen in addition to the simplified remote gesture control , which I totally thought was a gimmick until it started using it .",I drive,completely revamped,pos,interior-features
59,15,16,"This I drive , which has been completely revamped and now features a large tiled main menu along with your sub menus . Overall , a touch screen in addition to the simplified remote gesture control , which I totally thought was a gimmick until it started using it .",I drive,touch screen,neu,interior-features
60,15,16,"This I drive , which has been completely revamped and now features a large tiled main menu along with your sub menus . Overall , a touch screen in addition to the simplified remote gesture control , which I totally thought was a gimmick until it started using it .",remote gesture control,simplified,pos,interior-features
61,15,17,Now I can change tracks and adjust volume while looking like a crazy person to everyone around me .,-,-,-,unknown
62,15,18,To the delight of the habitually tangled .,-,-,-,unknown
63,15,19,"I Drive also includes wireless Apple carplay that works in nearly as good as the tether solution , but it does cost $3 at the moment .",Apple carplay,works nearly as good as the tether solution,pos,user-experience
64,15,20,"BMW it has a review of plans . Dad , Android Auto . Hey , perhaps , um , unrelated technology and distracted from that fact .",Android auto,unrelated technology,neg,interior-features
65,15,21,Coolest camera system ever .,camera system,coolest,pos,interior-features
66,15,22,"Yeah , what , he said .",-,-,-,unknown
67,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",Audi A6,well rounded,pos,general-information
68,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",S90,sweetest,pos,general-information
69,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",price,higher starting price,neg,cost
70,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",Mercedes-Benz e class,lot like flag ship sclass,neu,general-information
71,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",Mercedes-Benz e class,big fans,pos,general-information
72,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",Mercedes-Benz e class,smaller,neu,general-information
73,15,24,"That concept sounds familiar , though it may not be is engaging in some of its early predecessors .",Mercedes-Benz e class,similar concept as early predecessors,neu,general-information
74,15,24,"That concept sounds familiar , though it may not be is engaging in some of its early predecessors .",Mercedes-Benz e class,not as engaging,neg,handling
75,15,25,A7 Generation five Siri's represents a huge leap forward in terms of technology and interior sophistication .,technology,huge leap forward,pos,interior-features
76,15,25,A7 Generation five Siri's represents a huge leap forward in terms of technology and interior sophistication .,interior sophistication,huge leap forward,pos,interior-features
77,15,26,"With a pedigree spanning nearly four decades , it's refreshing to see a legacy nameplate embracing change for all the right reasons .",nameplate,embracing change,pos,general-information
78,15,26,"With a pedigree spanning nearly four decades , it's refreshing to see a legacy nameplate embracing change for all the right reasons .",nameplate,refreshing,pos,general-information
79,15,27,Metallica .,-,-,-,unknown
80,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",character,all on its own,pos,general-information
81,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",height,lower,pos,general-information
82,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",length,longer,pos,general-information
83,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",car,wider,pos,general-information
84,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",design,more aggressively sophisticated spin,pos,quality-aesthetic
85,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",car,convertible,pos,general-information
86,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",performance,high,pos,performance
87,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",hood,elongated,neu,quality-aesthetic
88,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",vents,specially designed,pos,exterior-features
89,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",vents,reduce drag,pos,exterior-features
90,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",roofline,sweeping,neu,exterior-features
91,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",deck lid,short,neu,exterior-features
92,16,3,"This low slung stance also use the lowest centre of gravity of any vehicle in BMWs current lineup . All that , said the fours head turning exterior design is counteracted by its interior shortcomings .",stance,low,neu,quality-aesthetic
93,16,3,"This low slung stance also use the lowest centre of gravity of any vehicle in BMWs current lineup . All that , said the fours head turning exterior design is counteracted by its interior shortcomings .",centre of gravity,lowest,neu,handling
94,16,3,"This low slung stance also use the lowest centre of gravity of any vehicle in BMWs current lineup . All that , said the fours head turning exterior design is counteracted by its interior shortcomings .",exterior design,head turning,pos,quality-aesthetic
95,16,3,"This low slung stance also use the lowest centre of gravity of any vehicle in BMWs current lineup . All that , said the fours head turning exterior design is counteracted by its interior shortcomings .",interior,shortcoming,neg,interior-features
96,16,4,"Cabin layout , well elegant and ergonomically sound is marked by a glaring absence of basic creature comforts . Chief among them are visors that don't extend lack of passive entry and a sink function for the dual zone climate control system . despite a starting president early $41,000 the entry level for 28 I still doesn't include a backup camera lumbar support for the driver's seat , where Bluetooth audio streaming a standard fare .",cabin layout,elegant,pos,interior-features
97,16,4,"Cabin layout , well elegant and ergonomically sound is marked by a glaring absence of basic creature comforts . Chief among them are visors that don't extend lack of passive entry and a sink function for the dual zone climate control system . despite a starting president early $41,000 the entry level for 28 I still doesn't include a backup camera lumbar support for the driver's seat , where Bluetooth audio streaming a standard fare .",cabin layout,ergonomically sound,pos,interior-features
98,16,4,"Cabin layout , well elegant and ergonomically sound is marked by a glaring absence of basic creature comforts . Chief among them are visors that don't extend lack of passive entry and a sink function for the dual zone climate control system . despite a starting president early $41,000 the entry level for 28 I still doesn't include a backup camera lumbar support for the driver's seat , where Bluetooth audio streaming a standard fare .",cabin layout,glaring absence of basic creature comforts,neg,comfort
99,16,5,"To put our grievances into perspective , we're well aware of the fact that BMW built cars for profit . But nickel and dime ing car shoppers for common features is a strategy best left to exotic car makers .",-,-,-,unknown
100,16,6,"On a more positive note , the four Siri's holds a clear advantage over the competition . When it comes to driving dynamics , the suspension and chassis work together harmoniously to deliver the impeccably balance ride and handling package for which BMW is renowned when noise makes it self evident at highway speeds but overall ride qualities befitting of a car from the class above . On the track , our end sport equipped for 28 I performed . As expected , the brakes were easy to modulate and held up well , given the race type conditions , feedback and response from the electric assisted steering was also noticeably better than that of the Audi A5 Mercedes-Benz C class coupe . Though it took some effort detained the fourth inclination towards understeer . ",driving dynamics,clear advantage,pos,handling
101,16,6,"On a more positive note , the four Siri's holds a clear advantage over the competition . When it comes to driving dynamics , the suspension and chassis work together harmoniously to deliver the impeccably balance ride and handling package for which BMW is renowned when noise makes it self evident at highway speeds but overall ride qualities befitting of a car from the class above . On the track , our end sport equipped for 28 I performed . As expected , the brakes were easy to modulate and held up well , given the race type conditions , feedback and response from the electric assisted steering was also noticeably better than that of the Audi A5 Mercedes-Benz C class coupe . Though it took some effort detained the fourth inclination towards understeer . ",ride,impeccably balanced,pos,handling
102,16,6,"On a more positive note , the four Siri's holds a clear advantage over the competition . When it comes to driving dynamics , the suspension and chassis work together harmoniously to deliver the impeccably balance ride and handling package for which BMW is renowned when noise makes it self evident at highway speeds but overall ride qualities befitting of a car from the class above . On the track , our end sport equipped for 28 I performed . As expected , the brakes were easy to modulate and held up well , given the race type conditions , feedback and response from the electric assisted steering was also noticeably better than that of the Audi A5 Mercedes-Benz C class coupe . Though it took some effort detained the fourth inclination towards understeer . ",handling package,renowned,pos,handling
103,16,6,"On a more positive note , the four Siri's holds a clear advantage over the competition . When it comes to driving dynamics , the suspension and chassis work together harmoniously to deliver the impeccably balance ride and handling package for which BMW is renowned when noise makes it self evident at highway speeds but overall ride qualities befitting of a car from the class above . On the track , our end sport equipped for 28 I performed . As expected , the brakes were easy to modulate and held up well , given the race type conditions , feedback and response from the electric assisted steering was also noticeably better than that of the Audi A5 Mercedes-Benz C class coupe . Though it took some effort detained the fourth inclination towards understeer . ",ride quality,befitting of a car,pos,comfort
